alpha;	0.100;0.050;0.025;0.010;0.005;0.001;
N=3;87.988;91.837;95.204;99.143;101.835;107.425;
N=4;88.820;93.009;96.700;101.055;104.055;110.323;
N=5;89.298;93.689;97.573;102.168;105.351;112.043;
N=6;89.606;94.128;98.134;102.895;106.194;113.136;
N=7;89.823;94.440;98.537;103.403;106.787;113.951;
N=8;89.985;94.667;98.831;103.782;107.237;114.527;
N=9;90.108;94.847;99.063;104.090;107.586;114.986;
N=10;90.206;94.986;99.242;104.322;107.864;115.339;
N=11;90.285;95.097;99.390;104.514;108.094;115.651;
N=12;90.355;95.199;99.519;104.682;108.277;115.914;
N=13;90.408;95.277;99.620;104.812;108.430;116.099;
N=14;90.451;95.341;99.703;104.919;108.557;116.312;
N=15;90.497;95.404;99.785;105.023;108.683;116.443;
N=16;90.535;95.454;99.848;105.102;108.778;116.566;
N=17;90.562;95.498;99.912;105.183;108.877;116.703;
N=18;90.593;95.541;99.955;105.247;108.940;116.801;
N=19;90.619;95.586;100.017;105.322;109.027;116.924;
N=20;90.639;95.610;100.047;105.362;109.077;116.979;
N=21;90.660;95.638;100.089;105.419;109.142;117.037;
N=22;90.681;95.669;100.130;105.475;109.207;117.138;
N=23;90.694;95.687;100.154;105.508;109.245;117.190;
N=24;90.715;95.716;100.188;105.542;109.296;117.293;
N=25;90.726;95.731;100.207;105.583;109.335;117.305;
N=26;90.735;95.746;100.234;105.612;109.377;117.387;
N=27;90.756;95.777;100.267;105.646;109.399;117.407;
