AREA,DEMIX_TILE,LAT,LONG,AVG_ELEV,AVG_SLOPE,AVG_ROUGH,RELIEF,FOREST_PC,URBAN_PC,REF_TYPE,LAND_TYPE,LANDTYP_PC,REC_ID,DEM_LOW_SC,CRITERION,FABDEM,COP,ALOS,NASA,SRTM,ASTER
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,ALL,100,4590,ALOS,ELD_AVG,5.19,5.44,2.6,5.81,5.76,8.07
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,ALL,100,4590,ALOS,ELD_STD,7.12,7.3,4.06,7.84,7.88,10.5
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,ALL,100,4590,FABDEM,ELD_RMSE,7.6,9.33,8.95,12.4,14.18,16.91
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,ALL,100,4590,FABDEM,ELD_MAE,5.6,7.16,8.07,10.29,12.2,13.95
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,ALL,100,4590,FABDEM,ELD_LE90,11.84,14.88,11.99,19.14,21.17,26.84
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,ALL,100,4590,FABDEM,ELD_MEAN,2.66,5.81,7.97,9.61,11.79,13.26
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,ALL,100,4590,FABDEM,ELD_MEDIAN,2.4,5.17,7.64,8.99,11.24,11.93
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,CLIFF,19.89,4594,ALOS,ELD_AVG,8,7.99,2.99,8.43,8.3,9.95
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,CLIFF,19.89,4594,ALOS,ELD_STD,10.66,10.57,4.35,11.37,11.49,13.09
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,CLIFF,19.89,4594,ALOS,ELD_RMSE,12.32,13.84,9.8,16.2,18.35,20.91
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,CLIFF,19.89,4594,ALOS,ELD_MAE,9.76,11.2,8.87,13.1,15.29,17.25
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,CLIFF,19.89,4594,ALOS,ELD_LE90,18.96,21.36,13.71,24.89,27.42,32.63
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,CLIFF,19.89,4594,FABDEM,ELD_MEAN,6.17,8.94,8.78,11.54,14.31,16.3
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,CLIFF,19.89,4594,FABDEM,ELD_MEDIAN,6.69,9.1,8.35,11.21,13.94,15.11
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,STEEP,54.7,4593,ALOS,ELD_AVG,4.67,4.9,2.5,5.42,5.34,7.68
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,STEEP,54.7,4593,ALOS,ELD_STD,6.02,6.35,3.75,6.99,6.9,9.73
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,STEEP,54.7,4593,FABDEM,ELD_RMSE,6.41,8.47,8.58,11.92,13.55,16.58
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,STEEP,54.7,4593,FABDEM,ELD_MAE,5.06,6.86,7.79,10.18,11.96,13.98
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,STEEP,54.7,4593,FABDEM,ELD_LE90,10.34,13.46,11.54,18.55,20.38,26.36
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,STEEP,54.7,4593,FABDEM,ELD_MEAN,2.21,5.61,7.72,9.65,11.66,13.42
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,STEEP,54.7,4593,FABDEM,ELD_MEDIAN,2.36,5.52,7.43,9.39,11.48,12.5
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,GENTLE,20.13,4592,ALOS,ELD_AVG,3.5,3.83,2.43,4.32,4.36,6.85
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,GENTLE,20.13,4592,ALOS,ELD_STD,4.56,5.05,4.53,5.66,5.71,9.26
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,GENTLE,20.13,4592,FABDEM,ELD_RMSE,4.65,6.38,9.02,9.9,11.7,14.19
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,GENTLE,20.13,4592,FABDEM,ELD_MAE,3.63,4.84,7.95,8.45,10.4,11.59
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,GENTLE,20.13,4592,FABDEM,ELD_LE90,7.46,10.43,11.32,15.63,17.6,23.45
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,GENTLE,20.13,4592,FABDEM,ELD_MEAN,0.91,3.89,7.8,8.13,10.22,10.75
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,GENTLE,20.13,4592,FABDEM,ELD_MEDIAN,1.19,3.39,7.52,7.65,9.91,9.2
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,FLAT,5.28,4591,ALOS,ELD_AVG,2.84,2.87,2.37,3.44,3.53,6
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,FLAT,5.28,4591,FABDEM,ELD_STD,3.73,3.96,3.78,4.78,4.84,8.04
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,FLAT,5.28,4591,FABDEM,ELD_RMSE,3.79,5.18,9.05,8.92,10.82,12.54
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,FLAT,5.28,4591,FABDEM,ELD_MAE,2.95,3.9,8.36,7.83,9.87,10.29
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,FLAT,5.28,4591,FABDEM,ELD_LE90,6,8.2,12.04,13.99,15.76,20.56
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,FLAT,5.28,4591,FABDEM,ELD_MEAN,0.67,3.35,8.22,7.53,9.68,9.62
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,FLAT,5.28,4591,FABDEM,ELD_MEDIAN,1.07,3.03,7.89,7.17,9.6,7.87
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,URBAN,1.31,4596,COP,ELD_AVG,2.28,2.2,2.62,2.55,2.59,3.09
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,URBAN,1.31,4596,COP,ELD_STD,2.98,2.91,5.49,3.24,3.26,5.03
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,URBAN,1.31,4596,FABDEM,ELD_RMSE,4.02,4.1,8.95,7.25,9.7,7.54
