SORT_area,AREA,DEMIX_TILE,LAT,LONG,AVG_ELEV,AVG_SLOPE,AVG_ROUGH,RELIEF,FOREST_PC,URBAN_PC,REF_TYPE,LAND_TYPE,LANDTYP_PC,REC_ID,DEM_LOW_SC,FABDEM_SCR,COP_SCR,ALOS_SCR,NASA_SCR,SRTM_SCR,ASTER_SCR,COP_ALOS,CRITERION,FABDEM,COP,ALOS,NASA,SRTM,ASTER
01-norway,norway,N59TE009G,59.4500000,9.9166670,284.14,21.75,7.53,563.75,90.70,0.05,DTM,ALL,100.00,0,ALOS,3.50,3.50,1.00,3.50,3.50,6.00,alos,ELD_AVG,4.33,4.20,3.44,4.35,4.36,7.88
01-norway,norway,N59TE009G,59.4500000,9.9166670,284.14,21.75,7.53,563.75,90.70,0.05,DTM,ALL,100.00,1,ALOS,3.50,3.50,1.00,3.50,3.50,6.00,alos,ELD_STD,5.80,5.48,4.45,5.58,5.60,10.12
01-norway,norway,N59TE009G,59.4500000,9.9166670,284.14,21.75,7.53,563.75,90.70,0.05,DTM,ALL,100.00,2,FABDEM,1.00,2.50,2.50,4.50,4.50,6.00,tie,ELD_RMSE,5.90,6.60,6.51,8.29,8.08,10.79
01-norway,norway,N59TE009G,59.4500000,9.9166670,284.14,21.75,7.53,563.75,90.70,0.05,DTM,ALL,100.00,3,FABDEM-COP-ALOS,2.00,2.00,2.00,4.50,4.50,6.00,tie,ELD_MAE,4.40,4.86,4.89,6.80,6.56,8.29
01-norway,norway,N59TE009G,59.4500000,9.9166670,284.14,21.75,7.53,563.75,90.70,0.05,DTM,ALL,100.00,4,FABDEM,1.00,2.50,2.50,4.50,4.50,6.00,tie,ELD_LE90,9.77,11.08,11.32,13.37,13.08,17.51
01-norway,norway,N59TE009G,59.4500000,9.9166670,284.14,21.75,7.53,563.75,90.70,0.05,DTM,CLIFF,6.74,5,ALOS,5.00,4.00,1.00,2.50,2.50,6.00,alos,ELD_AVG,8.36,7.78,4.42,6.92,6.88,11.63
01-norway,norway,N59TE009G,59.4500000,9.9166670,284.14,21.75,7.53,563.75,90.70,0.05,DTM,CLIFF,6.74,6,ALOS,5.00,4.00,1.00,2.50,2.50,6.00,alos,ELD_STD,10.31,9.62,5.63,8.60,8.69,14.70
01-norway,norway,N59TE009G,59.4500000,9.9166670,284.14,21.75,7.53,563.75,90.70,0.05,DTM,CLIFF,6.74,7,ALOS,3.00,5.00,1.00,3.00,3.00,6.00,alos,ELD_RMSE,10.36,11.03,8.72,10.29,10.23,15.79
01-norway,norway,N59TE009G,59.4500000,9.9166670,284.14,21.75,7.53,563.75,90.70,0.05,DTM,CLIFF,6.74,8,ALOS,3.00,5.00,1.00,3.00,3.00,6.00,alos,ELD_MAE,8.40,8.90,6.93,8.35,8.20,12.31
01-norway,norway,N59TE009G,59.4500000,9.9166670,284.14,21.75,7.53,563.75,90.70,0.05,DTM,CLIFF,6.74,9,ALOS,3.00,5.00,1.00,3.00,3.00,6.00,alos,ELD_LE90,16.93,18.26,14.43,16.74,16.51,25.76
01-norway,norway,N59TE009G,59.4500000,9.9166670,284.14,21.75,7.53,563.75,90.70,0.05,DTM,STEEP,25.77,10,ALOS,3.50,3.50,1.00,3.50,3.50,6.00,alos,ELD_AVG,5.52,5.19,3.72,5.23,5.22,8.88
01-norway,norway,N59TE009G,59.4500000,9.9166670,284.14,21.75,7.53,563.75,90.70,0.05,DTM,STEEP,25.77,11,ALOS,3.50,3.50,1.00,3.50,3.50,6.00,alos,ELD_STD,6.91,6.48,4.72,6.55,6.54,11.18
01-norway,norway,N59TE009G,59.4500000,9.9166670,284.14,21.75,7.53,563.75,90.70,0.05,DTM,STEEP,25.77,12,FABDEM-ALOS,1.50,3.00,1.50,4.50,4.50,6.00,alos,ELD_RMSE,6.97,8.08,7.28,9.28,9.05,12.18
01-norway,norway,N59TE009G,59.4500000,9.9166670,284.14,21.75,7.53,563.75,90.70,0.05,DTM,STEEP,25.77,13,FABDEM-ALOS,1.50,3.00,1.50,4.50,4.50,6.00,alos,ELD_MAE,5.57,6.45,5.68,7.63,7.41,9.52
01-norway,norway,N59TE009G,59.4500000,9.9166670,284.14,21.75,7.53,563.75,90.70,0.05,DTM,STEEP,25.77,14,FABDEM,1.00,3.00,2.00,4.50,4.50,6.00,alos,ELD_LE90,11.54,13.35,12.48,14.98,14.69,20.01
01-norway,norway,N59TE009G,59.4500000,9.9166670,284.14,21.75,7.53,563.75,90.70,0.05,DTM,GENTLE,34.56,15,ALOS,3.50,3.50,1.00,3.50,3.50,6.00,alos,ELD_AVG,4.14,3.87,3.32,4.14,4.15,7.45
