x,y
-147.16529846,1
-128.36547852,1
-120.84554291,5
-117.08557892,10
-113.32561493,9
-109.56564331,11
-105.80567932,7
-102.04571533,13
-98.28575134,12
-94.52577972,12
-90.76581573,14
-87.00585175,27
-83.24588776,29
-79.48591614,23
-75.72595215,21
-71.96598816,30
-68.20602417,39
-64.44605255,24
-60.68608856,41
-56.92612457,52
-53.16615677,54
-49.40619278,51
-45.64622498,62
-41.88626099,68
-38.12629318,88
-34.36632919,83
-30.60636139,119
-26.8463974,145
-23.0864296,217
-19.32646561,289
-15.56649876,455
-11.80653286,724
-8.04656696,1218
-4.28660107,2796
-0.52663517,8896
3.23333073,22745
6.99329662,35987
10.75326252,41851
14.51322842,6829
18.27319336,2330
22.03316116,1277
25.79312515,727
29.55309296,518
33.31305695,371
37.07302475,284
40.83298874,247
44.59295654,195
48.35292053,149
52.11288834,138
55.87285233,119
59.63282013,98
63.39278412,74
67.15274811,56
70.91271973,64
74.67268372,46
78.43264771,56
82.19261169,52
85.95258331,43
89.7125473,34
93.47251129,39
97.23247528,37
100.9924469,37
104.75241089,26
108.51237488,28
112.27233887,19
116.03231049,15
119.79227448,25
123.55223846,18
127.31220245,17
131.07217407,13
134.83213806,13
138.59210205,14
142.35206604,7
146.11203003,10
149.87199402,9
153.63197327,7
157.39193726,5
161.15190125,7
164.91186523,3
168.67182922,4
172.43179321,7
179.95172119,6
183.71170044,1
187.47166443,2
191.23162842,2
194.99159241,6
198.7515564,3
210.03144836,2
217.5513916,1
225.07131958,1
228.83128357,1
