x,y
-234.09375,2
-226.8190918,2
-219.54443359,1
-212.26977539,3
-204.99511719,5
-197.72044373,3
-190.44578552,7
-183.17112732,6
-175.89646912,9
-168.62181091,11
-161.34715271,14
-154.07249451,16
-146.7978363,11
-139.5231781,10
-132.2485199,10
-124.97385406,14
-117.69919586,21
-110.42453766,12
-103.14987946,27
-95.87521362,28
-88.60055542,31
-81.32589722,54
-74.05123901,63
-66.77658081,77
-59.50191879,110
-52.22725677,122
-44.95259857,189
-37.67794037,240
-30.40328026,358
-23.12862015,609
-15.85396004,1130
-8.57930088,3138
-1.30464101,15817
5.97001839,48599
13.2446785,41799
20.51933861,7811
27.79399681,2792
35.06865692,1475
42.34331512,979
49.61797714,783
56.89263535,533
64.16729736,493
71.44195557,375
78.71661377,320
85.99127197,256
93.26593781,246
100.54059601,192
107.81525421,170
115.08991241,143
122.36457062,93
129.63923645,103
136.91389465,81
144.18855286,75
151.46321106,59
158.73786926,60
166.01252747,51
173.28718567,51
180.56184387,42
187.83650208,29
195.11117554,41
202.38583374,28
209.66049194,23
216.93515015,22
224.20980835,17
231.48446655,29
238.75912476,16
246.03378296,24
253.30844116,19
260.58309937,30
267.85775757,25
275.13241577,16
282.40707397,19
289.68173218,23
296.95639038,19
304.23104858,25
311.5057373,13
318.78039551,17
326.05505371,8
333.32971191,10
340.60437012,8
347.87902832,13
355.15368652,14
362.42834473,9
369.70300293,14
376.97766113,15
384.25231934,13
391.52697754,5
398.80163574,7
406.07629395,12
413.35095215,6
420.62561035,2
427.90026855,5
435.17492676,5
442.44958496,2
449.72424316,2
456.99890137,1
486.0975647,3
493.3722229,1
