x,y
-69.75296021,1
-68.25411224,1
-66.75526428,1
-63.75757599,1
-62.25873184,3
-60.7598877,4
-59.26103973,1
-57.76219559,1
-56.26335144,1
-54.76450729,7
-53.26565933,2
-51.76681519,4
-50.26797104,3
-48.76912308,8
-47.27027893,7
-45.77143478,4
-44.27259064,7
-42.77374268,9
-41.27489853,8
-39.77605438,4
-38.27720642,12
-36.77836227,14
-35.27951813,11
-33.78067398,17
-32.28182602,16
-30.78298187,30
-29.28413773,33
-27.78529167,53
-26.28644562,68
-24.78760147,133
-23.28875542,175
-21.78991127,238
-20.29106522,401
-18.79222107,625
-17.29337502,887
-15.79452991,1452
-14.29568481,2323
-12.79683971,3577
-11.29799461,4931
-9.79914856,6829
-8.30030346,8640
-6.80145836,10409
-5.30261326,11898
-3.80376816,13177
-2.30492282,13249
-0.80607766,12215
0.69276756,10451
2.19161272,8174
3.69045806,6144
5.1893034,4379
6.6881485,2954
8.1869936,2113
9.6858387,1481
11.1846838,1018
12.6835289,696
14.18237495,440
15.68122005,299
17.18006516,184
18.6789093,133
20.17775536,85
21.67660141,61
23.17544556,42
24.67429161,22
26.17313576,17
27.67198181,20
29.17082596,20
30.66967201,8
32.16851807,9
33.66736221,12
35.16620636,7
36.66505432,4
38.16389847,4
39.66274261,5
41.16158676,9
42.66043472,2
44.15927887,5
45.65812302,3
47.15697098,1
48.65581512,3
50.15465927,4
51.65350342,2
53.15235138,1
54.65119553,1
56.15003967,3
57.64888763,2
59.14773178,2
62.14542007,1
63.64426804,1
65.14311218,1
68.14080048,2
69.63964844,1
71.1384964,2
75.63502502,1
78.63272095,1
80.13156128,1
