x,y
-42.79486084,1
-36.83926392,1
-33.86146545,2
-33.11701584,1
-32.37256622,1
-30.8836689,1
-29.39476967,1
-27.90587044,1
-27.16142082,2
-26.41697121,3
-25.67252159,2
-24.92807198,1
-24.18362236,3
-23.43917274,5
-22.69472504,2
-21.95027542,4
-21.20582581,11
-20.46137619,6
-19.71692657,9
-18.97247696,8
-18.22802734,19
-17.48357773,20
-16.73912811,25
-15.99467945,25
-15.25022984,34
-14.50578022,53
-13.7613306,100
-13.01688194,101
-12.27243233,170
-11.52798271,254
-10.7835331,365
-10.03908348,547
-9.29463482,881
-8.5501852,1321
-7.80573559,2030
-7.06128597,3025
-6.31683683,4341
-5.57238722,6186
-4.8279376,8690
-4.08348846,11680
-3.33903885,14578
-2.59458947,17455
-1.85013998,19467
-1.1056906,20401
-0.36124113,20738
0.3832083,19602
1.12765777,16327
1.87210715,12031
2.61655664,8178
3.36100602,5604
4.1054554,3876
4.84990501,2739
5.59435415,2270
6.33880377,1765
7.08325338,1524
7.82770252,1214
8.57215214,1132
9.31660175,947
10.06105137,895
10.80550003,796
11.54994965,728
12.29439926,672
13.03884888,585
13.78329849,556
14.52774715,536
15.27219677,500
16.01664734,422
16.76109505,361
17.50554466,285
18.24999428,237
18.99444389,160
19.73889351,124
20.48334312,97
21.22779274,59
21.97224236,53
22.71669197,38
23.46114159,30
24.2055912,12
24.95003891,7
25.69448853,6
26.43893814,7
27.18338776,6
27.92783737,2
28.67228699,2
29.4167366,3
31.65008545,1
