x,y
-38.54991913,1
-37.22647858,4
-35.90304184,2
-34.57960129,2
-33.25616074,4
-31.93272209,1
-30.60928345,3
-29.2858448,6
-27.96240425,3
-26.63896561,4
-25.31552696,6
-23.99208641,2
-22.66864777,10
-21.34520721,20
-20.02176857,13
-18.69832993,21
-17.37488937,27
-16.05145073,50
-14.72801113,83
-13.40457153,145
-12.08113289,263
-10.75769329,484
-9.43425369,1033
-8.11081409,2220
-6.78737497,4604
-5.46393585,8860
-4.14049625,15515
-2.81705713,22781
-1.49361765,28126
-0.17017829,27381
1.15326107,24649
2.47670031,22162
3.8001399,17485
5.12357903,13129
6.44701862,8763
7.77045774,5426
9.09389687,3638
10.41733646,2725
11.74077606,2163
13.06421566,1583
14.3876543,1126
15.7110939,756
17.03453255,600
18.3579731,372
19.68141174,291
21.00485229,184
22.32829094,126
23.65172958,78
24.97517014,39
26.29860878,15
27.62204742,18
28.94548798,13
30.26892662,9
31.59236717,16
32.91580582,13
34.23924637,14
35.56268311,13
36.88612366,21
38.20956421,7
39.53300095,7
40.8564415,5
42.17988205,14
43.50331879,12
44.82675934,4
46.15019989,10
47.47364044,13
48.79707718,8
50.12051773,13
51.44395828,10
52.76739502,9
54.09083557,12
55.41427612,10
56.73771286,9
58.06115341,10
59.38459396,5
60.7080307,8
62.03147125,9
63.3549118,5
64.67835236,4
66.00179291,5
67.32522583,3
68.64866638,6
69.97210693,4
71.29554749,3
73.94242859,2
75.26586151,3
77.91274261,1
79.23618317,1
80.55962372,1
85.8533783,1
88.5002594,1
89.82369995,2
93.79401398,1
