x,y
-24.11173058,1
-22.87581253,1
-21.63989449,1
-20.40397644,1
-19.1680584,2
-17.93214035,7
-16.69622231,6
-15.46030331,23
-14.22438526,29
-12.98846722,72
-11.75254822,158
-10.51663017,466
-9.28071213,968
-8.04479408,2041
-6.80887556,4016
-5.57295704,6623
-4.33703899,9435
-3.10112047,11498
-1.86520231,12188
-0.62928402,13372
0.60663426,22151
1.84255254,34480
3.07847071,37138
4.31438923,22299
5.55030727,12884
6.7862258,7958
8.02214432,5469
9.25806236,3903
10.49398041,2964
11.72989845,2254
12.96581745,1547
14.2017355,1028
15.43765354,649
16.67357254,375
17.90949059,183
19.14540863,133
20.38132668,64
21.61724472,40
22.85316277,36
24.08908081,23
25.32500076,6
26.56091881,9
27.79683685,9
29.0327549,5
30.26867294,8
31.50459099,9
32.74050903,2
33.97642899,5
35.21234512,4
36.44826508,4
38.92010117,2
40.15602112,3
41.39193726,3
42.62785721,3
43.86377335,3
45.0996933,1
46.33560944,2
47.57152939,1
48.80744553,2
50.04336548,2
51.27928543,2
52.51520157,1
54.98703766,1
58.6947937,2
62.40254974,2
64.87438202,2
67.34622192,1
68.58213806,1
71.05397797,1
72.2898941,1
78.46948242,1
79.70540619,1
82.17723846,2
87.12091064,2
88.35683441,1
89.59275055,1
90.82866669,1
95.77233887,1
97.00826263,1
99.48009491,1
