x,y
-38.28015137,1
-36.07262039,1
-32.3934021,1
-29.45002747,1
-28.71418381,2
-27.24249649,1
-26.50665474,1
-21.35574913,1
-20.61990547,1
-17.67653275,2
-16.94068909,1
-16.20484543,1
-15.46900177,3
-14.73315811,2
-13.99731445,2
-13.26147079,4
-12.52562809,7
-11.78978443,10
-11.05394077,10
-10.31809711,9
-9.58225346,32
-8.84641075,32
-8.11056709,41
-7.37472343,96
-6.63887978,146
-5.90303659,215
-5.16719294,372
-4.43134928,613
-3.6955061,1019
-2.95966244,1689
-2.22381902,3103
-1.4879756,5485
-0.75213206,9350
-0.01628861,15918
0.7195549,24318
1.45539832,23820
2.19124174,13564
2.9270854,7060
3.66292882,4959
4.39877224,4077
5.1346159,3306
5.87045908,2631
6.60630274,1965
7.3421464,1473
8.07798958,1014
8.81383324,687
9.5496769,524
10.28552055,294
11.02136326,204
11.75720692,153
12.49305058,85
13.22889423,71
13.96473789,41
14.7005806,23
15.43642426,18
16.17226791,15
16.90811157,12
17.64395523,8
18.37979889,4
19.11564255,1
19.85148621,3
20.58732796,3
21.32317162,3
22.05901527,4
22.79485893,2
23.53070259,1
25.00238991,2
26.47407722,1
27.94576454,1
29.41744995,1
30.15329361,1
35.30419922,1
