x,y
-31.93204117,1
-29.30603981,1
-20.90283775,1
-16.70123482,2
-15.65083504,1
-14.60043526,1
-9.87363338,1
-9.34843254,3
-8.82323265,3
-8.29803276,3
-7.77283239,3
-7.24763203,6
-6.72243214,4
-6.19723177,7
-5.6720314,18
-5.14683151,23
-4.62163115,44
-4.09643126,90
-3.57123089,117
-3.04603076,182
-2.52083039,320
-1.99563026,531
-1.47043014,912
-0.94522989,1647
-0.42002973,3059
0.10517046,5341
0.63037062,8722
1.15557086,13138
1.68077099,17939
2.20597124,20057
2.73117137,18908
3.2563715,14295
3.78157187,8534
4.30677176,4673
4.83197212,2901
5.35717249,1947
5.88237238,1455
6.40757275,1053
6.93277311,736
7.457973,498
7.98317337,357
8.50837326,219
9.0335741,155
9.55877399,90
10.08397388,48
10.60917377,38
11.13437462,26
11.65957451,19
12.1847744,5
12.70997524,5
13.23517513,2
13.76037502,7
14.28557587,2
14.81077576,2
15.33597565,2
15.86117649,1
16.38637543,2
17.43677711,1
17.96197701,3
19.53757668,1
20.58797836,1
