x,y
-229.25334167,1
-223.76257324,1
-171.60029602,1
-86.49341583,1
-78.25726318,1
-72.76650238,1
-67.27573395,1
-61.78496552,2
-56.2942009,1
-53.54881668,3
-45.31266785,2
-39.82189941,2
-37.07651901,2
-34.3311348,5
-31.58575058,2
-28.84036827,3
-26.09498405,10
-23.34960175,9
-20.60421753,19
-17.85883522,56
-15.113451,105
-12.3680687,186
-9.62268448,374
-6.87730169,1155
-4.13191843,3601
-1.38653517,14329
1.35884809,42432
4.10423136,31505
6.84961462,5578
9.59499741,792
12.34038162,185
15.08576393,70
17.83114815,27
20.57653046,22
23.32191467,14
26.06729698,7
28.8126812,2
31.55806351,2
34.30344772,3
37.04883194,1
39.79421234,2
45.28498077,1
