x,y
-71.94943237,1
-69.13117981,1
-60.67642975,1
-59.26730728,2
-57.858181,4
-56.44905853,2
-55.03993225,1
-53.63080597,3
-52.2216835,2
-50.81255722,4
-49.40343475,8
-47.99430847,1
-46.585186,3
-45.17605972,9
-43.76693344,17
-42.35781097,9
-40.94868469,7
-39.53956223,9
-38.13043594,13
-36.72130966,16
-35.31218719,18
-33.90306091,13
-32.49393845,16
-31.08481216,23
-29.67568779,28
-28.26656342,39
-26.85743713,38
-25.44831276,48
-24.03918839,47
-22.63006401,70
-21.22093964,77
-19.81181335,103
-18.40268898,95
-16.99356461,135
-15.58444023,154
-14.1753149,203
-12.76619053,230
-11.35706615,329
-9.94794083,464
-8.53881645,652
-7.1296916,1043
-5.72056675,1595
-4.31144238,2939
-2.90231752,7539
-1.49319267,25284
-0.084068,45144
1.32505679,28857
2.7341814,8155
4.14330626,1989
5.55243111,787
6.96155548,374
8.37068081,219
9.77980518,124
11.18892956,98
12.59805489,73
14.00717926,49
15.41630363,50
16.82542801,26
18.23455429,29
19.64367867,26
21.05280304,21
22.46192741,14
23.87105179,15
25.28017807,15
26.68930244,10
28.09842682,9
29.50755119,2
30.91667557,7
32.32580185,8
33.73492432,4
35.1440506,3
36.55317688,5
39.37142563,5
40.7805481,1
45.00792313,1
47.82617187,1
52.05354691,3
53.46267319,1
54.87179565,1
56.28092194,1
60.50829697,1
64.735672,1
68.96304321,1
