x,y
-57.51905823,2
-56.01799011,5
-54.51692581,4
-51.51478958,3
-50.01372528,5
-47.01158905,1
-38.00518799,5
-36.50412369,6
-35.00305557,5
-33.50198746,8
-32.00091934,11
-30.49985504,8
-28.99878693,17
-27.49772072,22
-25.9966526,19
-24.4955864,23
-22.99452019,38
-21.49345207,47
-19.99238586,85
-18.49131966,89
-16.99025154,142
-15.48918533,162
-13.98811817,229
-12.48705101,318
-10.98598385,450
-9.48491764,581
-7.98385048,907
-6.48278332,1533
-4.98171663,2777
-3.48064947,6125
-1.97958267,16943
-0.47851574,41934
1.02255118,39337
2.52361822,12251
4.02468491,2526
5.52575207,788
7.02681875,387
8.52788544,180
10.0289526,130
11.53001976,94
13.03108692,57
14.53215313,34
16.03322029,25
17.5342865,13
19.03535461,11
20.53642082,13
22.03748894,10
23.53855515,10
25.03962135,11
26.54068947,8
28.04175568,8
29.54282188,6
31.04389,13
32.54495621,11
34.04602432,8
35.54708862,7
37.04815674,5
38.54922485,6
40.05029297,8
41.55135727,3
43.05242538,3
44.5534935,3
46.0545578,4
47.55562592,4
49.05669403,4
50.55775833,2
52.05882645,4
53.55989456,4
55.06095886,4
56.56202698,2
58.06309509,1
62.56629562,2
64.06735992,2
65.56842804,1
68.57056427,1
70.07163239,1
71.57269287,2
73.07376099,1
74.5748291,1
76.07589722,1
79.07803345,4
80.57910156,1
85.08229828,1
86.58336639,1
88.08443451,1
89.58550262,1
92.58763123,1
