x,y
-48.67671585,1
-46.7830162,2
-42.99561691,1
-41.10191727,3
-39.20821381,2
-35.42081451,1
-33.52711487,5
-29.73971558,1
-27.84601593,2
-25.95231628,4
-24.05861473,7
-22.16491508,9
-20.27121544,6
-18.37751579,15
-16.48381615,16
-14.59011555,19
-12.6964159,30
-10.8027153,46
-8.90901566,74
-7.01531553,90
-5.12161541,142
-3.22791553,203
-1.33421564,309
0.55948442,683
2.45318437,2359
4.34688425,9269
6.24058437,20434
8.13428402,32340
10.02798462,25563
11.92168427,10592
13.81538486,4722
15.70908451,2541
17.60278511,1483
19.49648476,1011
21.3901844,680
23.28388405,441
25.17758369,283
27.07128525,144
28.96498489,57
30.85868454,33
32.75238419,14
34.64608383,5
36.53978348,4
38.43348312,3
40.32718277,5
42.22088623,2
44.11458588,3
46.00828552,3
47.90198517,1
49.79568481,3
51.68938446,2
53.58308411,4
55.47678375,3
57.3704834,1
59.26418304,2
61.15788269,1
64.94528198,1
66.83898163,2
70.62638092,2
72.5200882,1
76.30748749,1
78.20118713,1
80.09488678,1
81.98858643,2
85.77598572,1
87.66968536,3
91.45708466,1
93.3507843,1
97.13818359,1
99.03188324,2
112.28778839,1
117.96888733,2
127.43738556,1
133.1184845,1
136.90588379,1
140.69328308,1
