x,y
-41.97322464,1
-39.83731842,1
-38.7693634,2
-37.70140839,1
-36.63345337,2
-34.49754715,1
-32.36163712,5
-31.29368401,1
-30.2257309,2
-29.15777588,3
-28.08982277,7
-27.02186775,6
-25.95391464,9
-24.88595963,9
-23.81800652,8
-22.7500515,20
-21.68209839,27
-20.61414337,23
-19.54619026,46
-18.47823524,54
-17.41028214,91
-16.34232712,112
-15.27437401,141
-14.20641899,243
-13.13846588,395
-12.07051086,519
-11.00255775,832
-9.93460274,1116
-8.86664963,1480
-7.79869509,2150
-6.73074102,2959
-5.66278696,4080
-4.5948329,5163
-3.52687883,6493
-2.45892477,7269
-1.39097071,7764
-0.32301664,7273
0.74493742,7005
1.81289148,6219
2.88084555,5737
3.94879961,5013
5.01675367,4604
6.08470774,4341
7.1526618,4132
8.22061539,4092
9.2885704,3800
10.35652351,3867
11.42447853,3626
12.49243164,3408
13.56038666,3431
14.62833977,3306
15.69629478,2949
16.76424789,2704
17.83220291,2479
18.90015602,2155
19.96811104,1883
21.03606415,1602
22.10401917,1222
23.17197227,968
24.23992729,788
25.3078804,596
26.37583542,511
27.44378853,422
28.51174355,308
29.57969666,231
30.64765167,178
31.71560478,116
32.78355789,82
33.85151291,50
34.91946793,36
35.98742294,21
37.05537415,24
38.12332916,21
39.19128418,15
40.2592392,12
41.3271904,7
42.39514542,9
43.46310043,8
44.53105545,9
45.59900665,3
46.66696167,4
47.73491669,1
48.8028717,2
49.87082291,1
50.93877792,1
52.00673294,1
53.07468796,3
55.21059418,2
56.27854919,2
58.41445541,1
59.48241043,1
61.61832047,1
63.75422668,1
64.8221817,1
