x,y
-33.09706497,1
-31.82119179,2
-30.5453186,4
-29.26944542,2
-27.99357224,1
-26.71770096,4
-25.44182777,3
-24.16595459,1
-22.89008141,3
-21.61420822,10
-20.33833504,3
-19.06246376,8
-17.78659058,8
-16.51071739,15
-15.23484421,8
-13.95897198,20
-12.68309879,24
-11.40722656,39
-10.13135338,50
-8.85548019,66
-7.57960749,75
-6.30373478,132
-5.02786207,168
-3.75198913,333
-2.47611642,744
-1.20024347,1774
0.07562929,5247
1.35150218,14301
2.62737489,26905
3.90324783,31251
5.17912054,29885
6.45499325,25471
7.73086643,19558
9.00673866,15054
10.28261185,11982
11.55848503,9265
12.83435726,7194
14.11023045,5353
15.38610363,3919
16.66197586,2721
17.93784904,1915
19.21372223,1288
20.48959541,850
21.76546669,549
23.04133987,347
24.31721306,203
25.59308624,105
26.86895943,49
28.1448307,38
29.42070389,31
30.69657707,22
31.97245026,16
33.24832153,11
34.52419662,4
35.8000679,12
37.07594299,14
38.35181427,10
39.62768555,12
40.90356064,9
42.17943192,11
43.45530701,17
44.73117828,5
46.00704956,4
47.28292465,7
48.55879593,12
49.83467102,9
51.1105423,14
52.38641357,12
53.66228867,12
54.93815994,10
56.21403503,12
57.48990631,8
58.76577759,10
60.04165268,10
61.31752396,5
62.59339905,10
63.86927032,6
65.1451416,8
66.42101288,5
67.69689178,4
68.97276306,6
70.24863434,6
71.52450562,2
72.80037689,4
74.0762558,3
75.35212708,6
76.62799835,1
79.17974091,2
80.45561981,2
81.73149109,1
83.00736237,1
86.83498383,1
88.1108551,1
89.38672638,1
90.66259766,1
94.49021912,1
