x,y
-81.36836243,1
-77.94187164,1
-71.08888245,2
-69.37564087,2
-67.66239166,1
-65.94915009,3
-64.23590088,1
-59.0961647,1
-55.66967392,2
-53.95642471,1
-50.52993393,1
-48.81668854,3
-45.39019775,4
-43.67695236,5
-41.96370697,5
-40.25045776,1
-38.53721237,2
-36.82396698,7
-35.11072159,3
-33.3974762,6
-31.6842308,4
-29.97098351,4
-28.25773811,9
-26.54449272,5
-24.83124733,8
-23.11800003,10
-21.40475464,10
-19.69150925,15
-17.97826385,17
-16.26501656,23
-14.55177116,35
-12.83852577,55
-11.12527943,46
-9.41203403,75
-7.69878769,113
-5.9855423,204
-4.27229595,392
-2.55905032,843
-0.84580445,2283
0.86744142,10113
2.58068728,34057
4.29393291,32606
6.00717926,29291
7.72042465,25750
9.433671,22107
11.14691639,18358
12.86016273,14261
14.57340813,9923
16.28665352,6579
17.99990082,4025
19.71314621,2313
21.4263916,1280
23.13963699,687
24.85288429,392
26.56612968,184
28.27937508,95
29.99262047,56
31.70586777,38
33.41911316,36
35.13235855,31
36.84560394,28
38.55884933,25
40.27209473,17
41.98534393,15
43.69858932,13
45.41183472,13
47.12508011,8
48.8383255,13
50.55157089,7
52.26481628,5
53.97806168,7
55.69131088,10
57.40455627,5
59.11780167,5
60.83104706,3
62.54429245,4
64.25753784,4
65.97078705,5
67.68402863,1
69.39727783,4
71.11051941,3
72.82376862,3
74.53701019,1
76.2502594,1
79.67675018,1
81.38999939,2
83.10324097,2
84.81649017,2
88.24298096,1
89.95623016,1
