x,y
-16.73926544,1
-13.51761341,1
-12.4437294,1
-11.36984539,1
-10.83290291,1
-10.29596138,3
-9.7590189,1
-9.22207737,2
-8.68513489,5
-8.14819336,8
-7.61125088,3
-7.07430935,10
-6.53736687,15
-6.00042534,18
-5.46348286,20
-4.92654133,41
-4.38959885,65
-3.85265708,93
-3.31571507,183
-2.77877307,330
-2.24183106,582
-1.70488906,1076
-1.16794705,1934
-0.63100505,3251
-0.09406304,5372
0.44287896,7806
0.97982097,10923
1.51676297,13818
2.05370498,15722
2.59064698,15868
3.12758899,15065
3.66453099,12922
4.20147324,11016
4.73841476,9396
5.27535725,7872
5.81229877,6962
6.34924126,6032
6.88618279,5535
7.42312527,4886
7.9600668,4444
8.49700928,3972
9.03395081,3666
9.57089329,3427
10.10783482,3100
10.6447773,2870
11.18171883,2636
11.71866131,2425
12.25560284,2258
12.79254532,2076
13.32948685,1855
13.86642933,1719
14.40337086,1496
14.94031334,1302
15.47725487,1283
16.0141964,1057
16.55113983,960
17.08808136,882
17.62502289,696
18.16196442,566
18.69890785,488
19.23584938,384
19.77279091,301
20.30973244,241
20.84667587,189
21.3836174,143
21.92055893,143
22.45750046,102
22.99444389,72
23.53138542,51
24.06832695,46
24.60526848,39
25.14221191,27
25.67915344,20
26.21609497,12
26.7530365,8
27.28997993,7
27.82692146,5
28.36386299,1
28.90080452,2
29.43774796,1
33.19634247,1
36.95493698,1
