x,y
-19.96957588,1
-16.24394417,2
-15.00206661,4
-13.76018906,9
-12.5183115,11
-11.27643394,12
-10.03455734,17
-8.79267979,26
-7.55080223,36
-6.30892467,62
-5.06704712,123
-3.8251698,195
-2.58329225,483
-1.34141493,1232
-0.09953743,3799
1.14233994,18949
2.3842175,35770
3.62609482,35099
4.86797237,25940
6.10984993,20914
7.35172701,16541
8.59360504,13820
9.83548164,11301
11.0773592,9371
12.31923676,7152
13.56111431,5410
14.80299187,3868
16.04486847,2582
17.28674698,1574
18.52862358,924
19.77050209,561
21.01237869,340
22.2542572,184
23.4961338,100
24.73801041,43
25.97988892,25
27.22176552,13
28.46364403,8
29.70552063,11
30.94739914,3
32.18927765,4
33.43115234,5
34.67303085,9
35.91490936,4
37.15678406,3
38.39866257,2
39.64054108,4
40.88241959,3
42.12429428,1
43.36617279,2
44.6080513,6
45.84992599,2
47.0918045,2
48.33368301,2
49.57556152,1
50.81743622,2
52.05931473,3
53.30119324,1
57.02682495,1
58.26870346,1
59.51057816,1
60.75245667,1
64.47808838,2
65.71996307,1
66.9618454,1
68.20372009,1
70.68747711,1
73.17123413,2
74.41310883,1
81.86437225,1
83.10625458,2
86.83188629,2
89.31563568,1
90.55751801,1
93.0412674,1
94.28314972,1
96.76689911,1
99.25065613,1
104.21817017,1
