x,y
-30.31043053,1
-29.15200424,1
-20.46380424,1
-15.25088501,1
-14.09245872,2
-13.51324558,1
-8.87953949,1
-7.72111273,1
-7.14189959,1
-6.56268644,2
-5.98347282,2
-5.40425968,4
-4.82504654,2
-4.2458334,3
-3.66662002,4
-3.08740664,4
-2.50819349,13
-1.92898011,18
-1.34976697,42
-0.77055365,74
-0.19134039,150
0.38787287,447
0.96708614,1695
1.54629946,5564
2.1255126,13242
2.70472598,22074
3.28393912,24303
3.8631525,18053
4.44236565,10445
5.02157879,6402
5.60079241,4453
6.18000555,3639
6.75921869,3154
7.33843184,2608
7.91764545,2334
8.4968586,2056
9.07607174,1653
9.65528488,1406
10.23449802,1170
10.81371117,841
11.39292526,629
11.9721384,485
12.55135155,372
13.13056469,265
13.70977783,142
14.28899097,133
14.86820412,69
15.44741726,57
16.0266304,39
16.6058445,31
17.18505669,16
17.76427078,10
18.34348488,18
18.92269707,6
19.50191116,4
20.08112335,6
21.23954964,2
21.81876373,5
22.39797592,2
23.55640411,1
24.1356163,1
24.7148304,1
25.87325668,1
26.45246887,1
27.61089706,1
