x,y
-77.59820557,1
-73.5256958,2
-71.48944855,1
-69.45319366,2
-67.41693878,3
-65.3806839,2
-63.34443283,5
-61.30817795,9
-59.27192688,8
-57.235672,7
-55.19941711,10
-53.16316605,11
-51.12691116,6
-49.09065628,12
-47.05440521,5
-45.01815033,17
-42.98189926,11
-40.94564438,12
-38.9093895,15
-36.87313843,12
-34.83688354,12
-32.80062866,16
-30.76437759,21
-28.72812271,19
-26.69186974,36
-24.65561676,40
-22.61936378,55
-20.5831089,80
-18.54685593,101
-16.51060295,136
-14.47434902,160
-12.43809605,247
-10.40184212,417
-8.36558914,604
-6.32933521,983
-4.29308224,1677
-2.25682855,2726
-0.22057509,4617
1.81567836,7102
3.85193181,9946
5.8881855,12609
7.92443848,13160
9.96069241,12574
11.99694538,11218
14.03319931,9400
16.06945229,7206
18.10570526,5479
20.14196014,3999
22.17821312,2668
24.21446609,1772
26.25071907,1182
28.28697395,788
30.32322693,538
32.35948181,403
34.39573288,316
36.43198776,232
38.46823883,170
40.50449371,133
42.5407486,125
44.57699966,88
46.61325455,85
48.64950943,69
50.6857605,41
52.72201538,40
54.75826645,42
56.79452133,22
58.83077621,22
60.86702728,17
62.90328217,16
64.93953705,6
66.97579193,6
69.01203918,5
71.04829407,4
73.08454895,9
75.12080383,4
77.15705872,2
79.19330597,4
81.22956085,1
83.26581573,1
85.30207062,2
89.37458038,3
95.4833374,1
97.51959229,2
99.55584717,2
109.73711395,1
119.91838074,1
126.02713776,1
