x,y
-118.2236557,1
-111.19883728,6
-107.68643188,5
-104.17402649,9
-100.66161346,9
-97.14920807,15
-93.63680267,13
-90.12438965,23
-86.61198425,18
-83.09957886,20
-79.58716583,28
-76.07476044,28
-72.56235504,19
-69.04994202,40
-65.53753662,47
-62.02513123,54
-58.51272202,57
-55.00031281,66
-51.48790741,96
-47.9754982,117
-44.4630928,123
-40.95068359,155
-37.43827438,204
-33.92586899,274
-30.41345978,354
-26.90105247,441
-23.38864517,650
-19.87623596,941
-16.36382866,1263
-12.85142136,1869
-9.3390131,2653
-5.8266058,3981
-2.31419778,6367
1.19821,11177
4.71061802,20679
8.22302532,24895
11.73543358,15773
15.24784088,9300
18.76024818,6558
22.27265739,4871
25.7850647,3609
29.297472,2798
32.8098793,2175
36.32228851,1666
39.83469391,1256
43.34710312,961
46.85951233,764
50.37191772,599
53.88432693,448
57.39673615,373
60.90914154,308
64.42154694,256
67.93395996,238
71.44636536,177
74.95877075,177
78.47118378,150
81.98358917,118
85.49599457,107
89.00840759,104
92.52081299,96
96.03321838,71
99.54563141,78
103.0580368,70
106.5704422,52
110.0828476,54
113.59526062,33
117.10766602,46
120.62007141,40
124.13248444,29
127.64488983,34
131.15730286,34
134.66970825,25
138.18211365,29
141.69451904,25
145.20692444,10
148.71932983,12
152.23175049,19
155.74415588,13
159.25656128,11
162.76896667,13
166.28137207,10
169.79377747,4
173.30619812,4
176.81860352,5
180.33100891,5
183.84341431,2
187.3558197,2
190.8682251,2
194.38063049,2
197.89305115,1
204.91786194,2
208.43026733,1
211.94267273,1
215.45507813,1
233.01712036,2
