x,y
-146.30593872,2
-142.47642517,1
-130.98788452,1
-127.15836334,2
-123.32884216,3
-119.49932861,2
-115.66981506,4
-111.84029388,1
-108.01078033,3
-104.18125916,6
-100.35174561,5
-96.52223206,9
-92.69271088,5
-88.86319733,7
-85.03367615,9
-81.2041626,15
-77.37464142,21
-73.54512787,16
-69.71561432,27
-65.88609314,34
-62.05657959,47
-58.22706223,45
-54.39754486,69
-50.5680275,73
-46.73851013,89
-42.90899658,148
-39.07947922,180
-35.24996185,260
-31.42044449,360
-27.59092903,527
-23.76141167,849
-19.93189621,1267
-16.10237885,1983
-12.27286243,3049
-8.44334507,4904
-4.61382866,7760
-0.78431213,11736
3.04520464,16349
6.87472105,15734
10.70423794,12527
14.53375435,9368
18.36327171,7280
22.19278717,5535
26.02230453,4251
29.8518219,3357
33.68133926,2585
37.51085281,1803
41.34037018,1363
45.16988754,1025
48.99940491,815
52.82892227,607
56.65843582,414
60.48795319,338
64.31747437,273
68.14698792,256
71.97650146,205
75.80602264,133
79.63553619,122
83.46505737,133
87.29457092,106
91.12408447,112
94.95360565,98
98.7831192,82
102.61264038,81
106.44215393,57
110.27166748,46
114.10118866,56
117.93070221,51
121.76022339,30
125.58973694,26
129.41925049,26
133.24876404,22
137.07829285,31
140.9078064,23
144.73731995,22
148.5668335,23
152.39634705,10
156.22587585,12
160.0553894,8
163.88490295,15
167.7144165,13
171.54393005,7
175.37345886,7
179.20297241,5
183.03248596,7
186.86199951,2
190.69151306,2
194.52104187,6
198.35055542,4
202.18006897,4
206.00958252,3
209.83909607,2
213.66862488,1
217.49813843,2
236.64572144,1
