x,y
-55.04861069,1
-53.18297195,1
-51.31733322,1
-49.45169449,1
-48.51887512,3
-47.58605576,1
-46.65323639,3
-45.72041702,3
-44.78759766,5
-43.85477829,7
-42.92195511,13
-41.98913574,6
-41.05631638,10
-40.12349701,19
-39.19067764,19
-38.25785828,18
-37.32503891,23
-36.39221954,36
-35.45940018,37
-34.52658081,49
-33.59376144,75
-32.66094208,113
-31.7281208,125
-30.79530144,167
-29.86248207,206
-28.9296627,258
-27.99684143,285
-27.06402206,395
-26.1312027,505
-25.19838333,634
-24.26556396,802
-23.3327446,954
-22.39992332,1281
-21.46710396,1527
-20.53428459,1887
-19.60146523,2227
-18.66864586,2730
-17.73582649,3186
-16.80300713,3695
-15.87018681,4227
-14.93736649,4948
-14.00454712,5466
-13.07172775,6237
-12.13890743,6948
-11.20608807,7635
-10.2732687,8203
-9.34044933,9013
-8.40762901,9450
-7.47480965,10150
-6.5419898,10666
-5.60917044,10998
-4.67635059,11146
-3.74353099,11230
-2.81071115,10694
-1.87789154,10282
-0.94507194,9291
-0.01225224,8342
0.92056739,7332
1.85338712,6312
2.78620672,5357
3.71902633,4318
4.65184593,3633
5.58466578,2812
6.51748562,2389
7.45030499,1822
8.38312435,1428
9.31594467,1133
10.24876404,907
11.1815834,685
12.11440372,519
13.04722309,431
13.98004246,329
14.91286278,279
15.84568214,219
16.77850151,161
17.71132088,127
18.64414024,98
19.57696152,78
20.50978088,68
21.44260025,59
22.37541962,56
23.30823898,37
24.24105835,31
25.17387962,24
26.10669899,20
27.03951836,11
27.97233772,11
28.90515709,12
29.83797646,5
30.77079582,6
31.7036171,3
32.63643646,4
34.5020752,4
35.43489456,2
36.36771393,1
37.30053329,1
38.23335266,2
