x,y
-53.74932861,2
-51.64352036,1
-50.59061813,2
-48.48481369,2
-47.43190765,2
-46.37900543,3
-45.32610321,5
-44.27320099,14
-43.22029495,12
-42.16739273,24
-41.11449051,27
-40.06158829,25
-39.00868225,35
-37.95578003,32
-36.90287781,53
-35.84997559,72
-34.79706955,65
-33.74416733,101
-32.69126511,130
-31.63836098,165
-30.58545876,197
-29.53255463,261
-28.4796524,347
-27.42674828,416
-26.37384605,502
-25.32094193,620
-24.2680397,799
-23.21513557,963
-22.16223335,1257
-21.10932922,1537
-20.056427,1843
-19.00352287,2204
-17.95062065,2517
-16.89771652,3041
-15.8448143,3738
-14.79191017,4250
-13.73900795,4820
-12.68610382,5295
-11.6332016,5880
-10.58029747,6555
-9.52739525,6978
-8.47449112,7661
-7.42158842,8161
-6.36868525,8389
-5.31578207,8661
-4.26287889,8964
-3.20997572,9292
-2.15707254,9498
-1.10416937,10568
-0.05126619,9238
1.00163698,8879
2.05454016,8378
3.10744333,7930
4.16034651,7169
5.21324968,6758
6.26615286,6452
7.31905603,6078
8.37195969,4736
9.42486191,3993
10.47776604,3375
11.53066826,2931
12.58357239,2338
13.63647461,2067
14.68937874,1709
15.74228096,1398
16.79518509,1179
17.84808731,892
18.90099144,731
19.95389366,647
21.00679779,480
22.05970001,337
23.11260414,293
24.16550636,230
25.21841049,183
26.27131271,142
27.32421684,118
28.37711906,88
29.43002319,63
30.48292542,46
31.53582954,36
32.58873367,33
33.64163589,24
34.69453812,18
35.74744034,12
36.80034637,16
37.8532486,12
38.90615082,6
39.95905304,13
41.01195908,5
42.0648613,8
43.11776352,3
44.17066574,5
45.22357178,2
46.276474,3
48.38227844,2
51.54098892,1
