x,y
-39.09597015,1
-29.54364395,21
-19.99131775,191
-10.43899345,3342
-0.88666773,77420
8.66565704,44615
18.21798325,2800
27.77030754,456
37.32263184,59
46.87495804,8
56.42728424,2
65.97960663,2
534.04351807,1
543.59588623,13
553.14819336,28
562.70050049,17
572.25286865,23
581.80517578,24
591.35748291,15
600.90985107,7
610.4621582,6
620.01446533,10
629.56677246,10
639.11914062,3
648.67144775,5
658.22375488,4
667.77612305,6
677.32843018,10
686.8807373,1
696.43310547,1
705.9854126,1
715.53771973,2
725.09002686,1
734.64239502,2
753.74700928,2
763.29937744,1
772.85168457,1
782.4039917,1
801.50866699,1
811.06097412,1
830.16564941,1
839.71795654,2
849.27026367,2
858.82263184,1
868.37493896,2
877.92724609,2
887.47955322,5
897.03192139,7
906.58422852,25
916.13653564,5
