x,y
-29.35816574,1
-27.70171738,3
-26.87349129,2
-26.04526711,3
-25.21704292,4
-24.38881874,4
-23.56059456,4
-22.73237038,6
-21.90414619,8
-21.0759201,9
-20.24769592,15
-19.41947174,17
-18.59124756,36
-17.76302338,29
-16.93479919,54
-16.1065731,86
-15.27834988,119
-14.45012474,219
-13.62190056,294
-12.79367638,465
-11.96545124,721
-11.13722706,1113
-10.30900288,1630
-9.48077774,2348
-8.65255356,3371
-7.8243289,4715
-6.99610472,6221
-6.16788006,7828
-5.33965588,9363
-4.51143122,10697
-3.6832068,11532
-2.85498214,12040
-2.02675772,11494
-1.1985333,10236
-0.37030879,9575
0.45791569,7067
1.2861402,5524
2.11436462,3982
2.94258904,2837
3.7708137,2019
4.59903812,1326
5.42726278,868
6.25548697,654
7.08371162,415
7.91193581,221
8.74016094,131
9.56838512,78
10.39660931,49
11.22483349,32
12.05305862,20
12.88128281,13
13.70950699,5
14.53773212,6
15.36595631,1
16.19418144,1
17.02240562,6
17.85062981,1
19.50707817,5
20.33530235,5
21.16352844,5
22.81997681,1
24.47642517,4
25.30464935,5
26.13287544,4
27.78932381,1
28.61754799,1
29.44577217,7
30.27399635,6
31.10222054,4
32.75867081,1
33.58689499,7
34.41511917,5
35.24334335,2
36.07156754,2
37.7280159,1
38.55624008,2
40.21269226,2
41.86914062,2
42.69736481,1
45.18203735,1
47.6667099,4
48.49493408,1
49.32315826,1
52.63605881,1
53.46428299,1
