x,y
-110.41555023,1
-101.20977783,1
-92.00400543,8
-82.79823303,16
-73.59246826,62
-64.38669586,110
-55.18092346,298
-45.97515488,573
-36.76938248,1387
-27.56361389,4117
-18.35784149,11952
-9.15207195,24448
0.05369854,29007
9.25946903,18733
18.46524048,7507
27.67100906,2059
36.87678146,344
46.08255005,82
55.28832245,44
64.49409485,16
73.69985962,2
82.90563202,1
92.11140442,1
736.51531982,6
745.72113037,18
754.92687988,39
764.13262939,58
773.33843994,55
782.54418945,44
791.74993896,59
800.95574951,41
810.16149902,11
