x,y
-74.28321838,1
-72.28446198,2
-70.2857132,2
-68.28695679,1
-66.28820801,3
-64.2894516,4
-62.29069901,5
-60.29194641,5
-58.29319382,10
-56.29444122,9
-54.29568863,6
-52.29693222,7
-50.29817963,9
-48.29942703,11
-46.30067444,7
-44.30192184,14
-42.30316925,10
-40.30441666,14
-38.30566406,13
-36.30691147,13
-34.30815887,16
-32.30940247,16
-30.31065178,17
-28.31189919,14
-26.31314468,29
-24.31439209,26
-22.3156395,46
-20.3168869,42
-18.31813431,74
-16.31937981,89
-14.32062817,128
-12.32187462,133
-10.32312202,232
-8.32436848,299
-6.32561588,522
-4.32686281,824
-2.32810998,1453
-0.32935709,2328
1.66939592,3838
3.66814876,6050
5.66690159,9201
7.66565466,10613
9.66440773,10412
11.66316032,9368
13.66191387,8354
15.66066647,7580
17.65942001,6951
19.65817261,6355
21.6569252,5797
23.6556778,5181
25.65443039,4263
27.65318489,3527
29.65193748,2795
31.65069008,2009
33.64944458,1375
35.64819717,1039
37.64694977,643
39.64570236,484
41.64445496,321
43.64320755,236
45.64196014,184
47.64071274,130
49.63946533,89
51.63821793,67
53.63697433,51
55.63572693,57
57.63447952,32
59.63323212,37
61.63198471,27
63.6307373,17
65.62949371,13
67.62824249,19
69.6269989,10
71.62574768,5
73.62450409,9
75.62325287,5
77.62200928,7
79.62075806,5
81.61951447,5
83.61826324,3
85.61701965,4
87.61577606,1
89.61452484,1
95.61078644,1
97.60953522,3
99.60829163,1
109.60205841,1
121.59457397,1
125.59207916,1
