x,y
-85.57003021,1
-82.28650665,1
-79.00299072,1
-75.71946716,3
-72.4359436,5
-69.15242004,3
-65.86890411,4
-62.58538055,7
-59.30185699,5
-56.01833725,10
-52.73481369,31
-49.45129395,20
-46.16777039,46
-42.88425064,55
-39.60072708,64
-36.31720734,75
-33.03368378,119
-29.75016403,129
-26.46664047,164
-23.18312073,243
-19.89959717,295
-16.61607742,403
-13.33255482,603
-10.04903316,931
-6.76551151,1449
-3.48198986,2347
-0.19846821,4342
3.08505344,9348
6.3685751,18478
9.65209675,21538
12.9356184,14241
16.2191391,9767
19.50266266,7805
22.7861824,6687
26.06970596,5792
29.35322571,4979
32.63674927,4214
35.92026901,3286
39.20379257,2580
42.48731232,2121
45.77083588,1459
49.05435562,1165
52.33787918,924
55.62139893,727
58.90492249,497
62.18844223,426
65.47196198,367
68.75548553,302
72.03900909,254
75.32253265,225
78.60604858,203
81.88957214,142
85.1730957,148
88.45661926,137
91.74013519,126
95.02365875,101
98.30718231,88
101.59070587,83
104.8742218,70
108.15774536,49
111.44126892,81
114.72479248,72
118.00830841,47
121.29183197,44
124.57535553,38
127.85887909,34
131.14239502,28
134.42591858,29
137.70944214,24
140.9929657,36
144.27648926,29
147.56001282,22
150.84352112,25
154.12704468,21
157.41056824,13
160.6940918,9
163.97761536,18
167.26113892,12
170.54466248,9
173.82818604,7
177.11169434,9
180.3952179,1
183.67874146,6
186.96226501,3
190.24578857,4
193.52931213,1
196.81283569,3
200.09635925,1
206.66339111,1
209.94691467,1
213.23043823,2
216.51396179,1
219.79748535,3
239.49861145,1
242.78213501,1
