x,y
-80.90384674,1
-78.96946716,1
-77.03508759,3
-75.10071564,1
-71.23195648,1
-69.29758453,2
-67.36320496,2
-65.42883301,3
-63.49445343,2
-61.56007767,7
-59.62569809,11
-57.69132233,14
-55.75694656,19
-53.82256699,21
-51.88819122,34
-49.95381546,41
-48.0194397,44
-46.08506012,50
-44.15068436,79
-42.21630859,134
-40.28192902,145
-38.34755325,169
-36.41317749,232
-34.47880173,300
-32.54442215,407
-30.61004639,491
-28.67567062,638
-26.74129295,808
-24.80691528,960
-22.87253952,1226
-20.93816185,1502
-19.00378609,1824
-17.06940842,2120
-15.1350317,2771
-13.20065498,3275
-11.26627827,3753
-9.33190155,4345
-7.39752436,5047
-5.46314764,5436
-3.52877092,5920
-1.59439397,6639
0.33998281,6718
2.2743597,6649
4.20873642,6745
6.14311314,6537
8.07748985,6438
10.01186657,6256
11.94624424,5721
13.88062096,5241
15.81499767,4490
17.74937439,4240
19.68375206,3775
21.61812782,3337
23.55250549,2804
25.48688126,2354
27.42125893,1941
29.35563469,1625
31.29001236,1328
33.22438812,1063
35.1587677,926
37.09314346,708
39.02751923,607
40.96189499,462
42.89627457,349
44.83065033,265
46.76502609,210
48.69940186,191
50.63378143,143
52.5681572,120
54.50253296,97
56.43691254,78
58.3712883,74
60.30566406,44
62.24003983,50
64.17441559,26
66.10879517,26
68.04317474,19
69.97754669,21
71.91192627,26
73.84630585,28
75.7806778,14
77.71505737,14
79.64942932,10
81.5838089,9
83.51818848,9
85.45256042,10
87.38694,9
89.32131958,7
91.25569153,2
93.19007111,5
95.12445068,6
97.05882263,4
98.99320221,2
100.92758179,3
102.86195374,1
104.79633331,1
106.73070526,1
108.66508484,1
110.59946442,1
112.53383636,1
