x,y
-72.70680237,2
-69.75727081,3
-65.33297729,2
-63.85821533,2
-62.38344955,8
-60.90868759,3
-59.43392181,6
-57.95915604,6
-56.48439407,9
-55.0096283,8
-53.53486633,6
-52.06010056,15
-50.58533478,8
-49.11057281,23
-47.63580704,13
-46.16104126,25
-44.6862793,30
-43.21151352,38
-41.73675156,37
-40.26198578,27
-38.78722,42
-37.31245804,53
-35.83769226,70
-34.36292648,93
-32.88816452,102
-31.41339874,124
-29.93863487,156
-28.463871,219
-26.98910713,283
-25.51434135,358
-24.03957748,431
-22.56481361,537
-21.09004974,701
-19.61528397,876
-18.1405201,1146
-16.66575623,1421
-15.1909914,1838
-13.71622753,2228
-12.24146271,3021
-10.76669884,3723
-9.29193401,4764
-7.81717014,5944
-6.34240532,6952
-4.86764145,8203
-3.39287686,9278
-1.91811252,10155
-0.44334817,10706
1.03141618,10934
2.50618052,10450
3.98094487,9883
5.45570946,9288
6.93047333,8382
8.40523815,7474
9.88000202,6773
11.35476685,5603
12.82953072,4670
14.30429554,3843
15.77905941,3043
17.25382423,2520
18.7285881,2061
20.20335197,1668
21.67811775,1331
23.15288162,1010
24.62764549,775
26.10240936,662
27.57717514,503
29.05193901,385
30.52670288,334
32.00146866,246
33.47623062,195
34.9509964,138
36.42576218,98
37.90052414,71
39.37528992,75
40.85005188,39
42.32481766,33
43.79958344,24
45.2743454,24
46.74911118,11
48.22387695,11
49.69863892,5
51.17340469,5
52.64816666,1
54.12293243,2
55.59769821,3
57.07246017,4
58.54722595,5
60.02199173,3
61.49675369,2
62.97151947,2
64.44628143,3
65.92105103,1
67.39581299,3
68.87057495,1
74.76963043,1
