x,y
-66.22067261,1
-64.93439484,1
-62.36183929,1
-61.07556152,2
-59.78928375,3
-58.50300598,1
-57.21672821,1
-55.93044662,3
-54.64416885,3
-53.35789108,3
-52.07161331,3
-50.78533554,8
-49.49905396,4
-48.21277618,7
-46.92649841,5
-45.64022064,14
-44.35394287,8
-43.0676651,10
-41.78138351,14
-40.49510574,11
-39.20882797,22
-37.9225502,35
-36.63627243,31
-35.34999084,58
-34.06371307,59
-32.7774353,85
-31.49115753,119
-30.20487785,133
-28.91860008,184
-27.63232231,204
-26.34604263,246
-25.05976486,346
-23.77348518,416
-22.48720741,556
-21.20092964,657
-19.91464996,909
-18.62837219,1135
-17.34209442,1370
-16.05581474,1713
-14.76953697,2246
-13.48325825,2831
-12.19697952,3445
-10.9107008,4231
-9.62442303,5194
-8.3381443,6155
-7.05186558,7488
-5.76558733,9008
-4.47930861,9747
-3.19303036,10527
-1.90675175,11415
-0.62047327,11685
0.66580522,11731
1.95208371,12670
3.23836231,11526
4.52464056,10744
5.81091928,10267
7.09719753,9772
8.38347626,8376
9.66975498,7216
10.95603275,6335
12.24231148,5547
13.5285902,4810
14.81486893,4101
16.1011467,3453
17.38742638,2807
18.67370415,2468
19.95998192,2145
21.2462616,1746
22.53253937,1440
23.81881714,1269
25.10509682,1084
26.39137459,844
27.67765427,750
28.96393204,593
30.25020981,562
31.53648949,435
32.82276917,359
34.10904694,292
35.39532471,254
36.68160248,202
37.96788025,155
39.25415802,144
40.54043961,126
41.82671738,66
43.11299515,70
44.39927292,56
45.68555069,52
46.97183228,39
48.25811005,22
49.54438782,23
50.83066559,16
52.11694336,8
53.40322495,11
54.68950272,8
55.97578049,5
57.26205826,2
58.54833603,1
59.8346138,2
62.40717316,1
