x,y
-51.84255981,2
-50.01531601,1
-47.27444839,1
-46.3608284,1
-45.44720459,1
-43.61996078,6
-42.70634079,5
-41.79271698,4
-40.87909698,2
-39.96547318,2
-39.05185318,6
-38.13822937,9
-37.22460938,9
-36.31098557,7
-35.39736557,7
-34.48374176,10
-33.57012177,13
-32.65649796,11
-31.74287796,17
-30.82925415,14
-29.91563416,29
-29.00201035,42
-28.08839035,51
-27.17476654,66
-26.26114655,106
-25.34752274,103
-24.43390274,132
-23.52027893,183
-22.60665894,220
-21.69303513,311
-20.77941513,351
-19.86579132,506
-18.95217133,596
-18.03854752,743
-17.12492752,984
-16.21130371,1112
-15.29768276,1478
-14.38406086,1734
-13.47043896,2211
-12.55681705,2789
-11.64319515,3262
-10.72957325,4033
-9.81595135,4863
-8.90232944,5508
-7.98870754,6837
-7.07508564,7788
-6.16146374,9124
-5.24784184,10272
-4.33421993,11396
-3.42059803,12118
-2.50697613,12194
-1.59335423,12169
-0.67973232,12297
0.23388958,11536
1.14751148,10813
2.06113338,9748
2.97475529,8785
3.88837719,7826
4.80199909,6781
5.71562099,5846
6.6292429,5176
7.5428648,4239
8.4564867,3639
9.3701086,3053
10.28373051,2507
11.19735241,2081
12.11097431,1703
13.02459621,1404
13.93821812,1144
14.85184002,930
15.76546192,758
16.67908478,608
17.59270477,506
18.50632858,403
19.41994858,340
20.33357239,299
21.24719238,218
22.16081619,175
23.07443619,157
23.98806,126
24.90167999,92
25.8153038,71
26.7289238,52
27.64254761,42
28.5561676,47
29.46979141,27
30.38341141,23
31.29703522,13
32.21065521,11
33.12427902,7
34.03789902,10
34.95152283,6
35.86514282,5
36.77876663,6
37.69238663,5
38.60601044,2
39.51963043,2
