x,y
-46.06319046,1
-44.89959717,2
-42.57240677,2
-40.24521637,2
-39.08161926,2
-37.91802597,5
-36.75442886,3
-35.59083176,8
-34.42723846,7
-33.26364136,8
-32.10004807,25
-30.93645287,18
-29.77285767,35
-28.60926247,28
-27.44566536,54
-26.28207016,57
-25.11847496,78
-23.95487976,92
-22.79128456,156
-21.62768936,183
-20.46409416,257
-19.30049896,392
-18.13690376,507
-16.97330856,719
-15.80971336,966
-14.64611816,1238
-13.48252201,1619
-12.31892681,2166
-11.15533161,2743
-9.99173641,3333
-8.82814121,3995
-7.66454601,4773
-6.50095034,5643
-5.33735514,6521
-4.17375994,7304
-3.0101645,8071
-1.8465693,8688
-0.68297392,9213
0.4806214,9822
1.64421678,9858
2.80781198,9916
3.97140741,9842
5.13500261,9613
6.29859781,9223
7.46219349,8720
8.62578869,8225
9.78938389,7721
10.95297909,6817
12.11657429,6019
13.28016949,5456
14.44376564,4773
15.60736084,4149
16.77095604,3658
17.93455124,3162
19.09814644,2664
20.26174164,2361
21.42533684,1979
22.58893204,1712
23.75252724,1383
24.91612244,1146
26.07971764,954
27.24331284,797
28.40690994,685
29.57050514,588
30.73410034,473
31.89769554,419
33.06129074,311
34.22488403,252
35.38848114,199
36.55207443,158
37.71567154,136
38.87926865,95
40.04286194,103
41.20645905,64
42.37005234,57
43.53364944,60
44.69724274,33
45.86083984,24
47.02443314,32
48.18803024,22
49.35162354,28
50.51522064,17
51.67881393,14
52.84241104,6
54.00600433,13
55.16960144,7
56.33319855,9
57.49679184,6
58.66038895,5
59.82398224,6
60.98757935,10
62.15117264,4
63.31476974,3
64.47836304,2
65.64196014,3
66.80555725,1
67.96914673,1
70.29634094,1
