x,y
-145.92984009,2
-138.94364929,1
-135.45054626,1
-128.46435547,1
-124.97125244,1
-114.49195862,5
-110.99886322,1
-107.50576019,3
-104.01266479,7
-100.51956177,5
-97.02646637,4
-93.53337097,9
-90.04026794,3
-86.54717255,4
-83.05407715,10
-79.56097412,8
-76.06787872,12
-72.5747757,13
-69.0816803,15
-65.5885849,17
-62.09548569,23
-58.60238647,25
-55.10928726,38
-51.61618805,46
-48.12309265,60
-44.62999344,88
-41.13689423,131
-37.64379501,216
-34.15069962,304
-30.6576004,609
-27.16450119,992
-23.67140388,1773
-20.17830467,2931
-16.68520737,4524
-13.19210815,6555
-9.69901085,8469
-6.20591211,11572
-2.71281385,15251
0.7802844,15607
4.27338266,12560
7.76648092,10218
11.2595787,7354
14.75267792,5198
18.24577522,3717
21.73887444,2788
25.23197174,1931
28.72507095,1343
32.21817017,910
35.71126556,604
39.20436478,456
42.69746399,377
46.1905632,306
49.6836586,227
53.17675781,174
56.66985703,153
60.16295624,153
63.65605164,141
67.14915466,133
70.64225006,89
74.13534546,89
77.62844849,63
81.12154388,77
84.61463928,54
88.10774231,58
91.60083771,56
95.09394073,46
98.58703613,44
102.08013153,45
105.57323456,32
109.06632996,22
112.55942535,29
116.05252838,16
119.54562378,21
123.03872681,26
126.5318222,17
130.0249176,17
133.51802063,17
137.01112366,9
140.50421143,13
143.99731445,14
147.49041748,8
150.98350525,6
154.47660828,4
157.9697113,7
161.46279907,2
164.9559021,3
168.44900513,3
171.9420929,4
175.43519592,4
178.92829895,2
182.42138672,2
185.91448975,3
189.40759277,3
192.9006958,4
196.39378357,3
199.8868866,2
203.37998962,2
