x,y
-201.88421631,2
-196.71659851,2
-191.54898071,3
-186.38136292,2
-181.21374512,3
-176.04612732,5
-170.87850952,5
-165.71089172,7
-160.54328918,6
-155.37567139,2
-150.20805359,10
-145.04043579,8
-139.87281799,17
-134.7052002,11
-129.5375824,13
-124.36997223,19
-119.20235443,15
-114.03473663,23
-108.86712646,26
-103.69950867,34
-98.53189087,41
-93.36427307,59
-88.1966629,58
-83.0290451,71
-77.86142731,97
-72.69380951,129
-67.52619934,180
-62.35858154,208
-57.19096375,238
-52.02334976,344
-46.85573196,481
-41.68811798,611
-36.52050018,939
-31.3528862,1582
-26.1852684,3244
-21.01765442,6724
-15.85003757,10348
-10.68242168,12041
-5.51480579,14024
-0.3471899,14724
4.82042599,11387
9.98804188,10128
15.15565777,9259
20.32327271,8352
25.4908905,6272
30.65850449,3886
35.82612228,2728
40.99373627,1998
46.16135406,1532
51.32896805,1340
56.49658585,1135
61.66419983,874
66.83181763,781
71.99943542,637
77.16704559,562
82.33466339,429
87.50228119,385
92.66989899,331
97.83750916,265
103.00512695,229
108.17274475,172
113.34036255,138
118.50797272,129
123.67559052,108
128.84320068,86
134.01081848,85
139.17843628,65
144.34605408,86
149.51367188,41
154.68128967,43
159.84890747,38
165.01652527,28
170.18412781,40
175.35174561,33
180.5193634,23
185.6869812,32
190.854599,27
196.0222168,24
201.18983459,26
206.35745239,24
211.52505493,20
216.69267273,18
221.86029053,15
227.02790833,15
232.19552612,18
237.36314392,15
242.53076172,11
247.69837952,15
252.86598206,12
258.03359985,19
263.20123291,13
268.36883545,7
273.53643799,7
278.70407104,6
283.87167358,7
289.03930664,5
294.20690918,1
299.37454224,1
314.87738037,2
