x,y
-33.08388901,1
-32.41817093,1
-31.75245285,1
-30.42101479,3
-29.75529671,2
-29.08957863,1
-28.42386055,3
-27.75814247,10
-27.09242439,8
-26.42670441,7
-25.76098633,8
-25.09526825,12
-24.42955017,16
-23.76383209,16
-23.09811401,22
-22.43239403,23
-21.76667595,40
-21.10095787,52
-20.43523979,61
-19.76952171,69
-19.10380363,92
-18.43808365,95
-17.77236557,127
-17.10664749,159
-16.44092941,188
-15.77521133,222
-15.1094923,294
-14.44377422,349
-13.77805614,450
-13.11233711,548
-12.44661903,679
-11.78090096,772
-11.11518288,960
-10.44946384,1187
-9.78374577,1399
-9.11802769,1779
-8.45230865,2136
-7.78659058,2663
-7.12087202,3009
-6.45515394,3704
-5.78943539,4217
-5.12371683,4995
-4.45799875,5596
-3.7922802,6296
-3.12656188,6702
-2.46084356,7148
-1.79512513,7883
-1.12940681,8404
-0.4636884,8855
0.20202997,9997
0.86774838,7766
1.5334667,6478
2.19918513,5391
2.86490345,4451
3.53062177,3653
4.19634008,3068
4.86205864,2492
5.52777719,1953
6.19349527,1594
6.85921383,1264
7.52493191,1062
8.19065094,846
8.85636902,689
9.5220871,541
10.18780518,486
10.85352421,369
11.51924229,330
12.18496037,309
12.8506794,215
13.51639748,186
14.18211555,153
14.84783459,132
15.51355267,126
16.1792717,88
16.84498978,67
17.51070786,50
18.17642593,44
18.84214401,40
19.50786209,36
20.17358208,27
20.83930016,24
21.50501823,15
22.17073631,10
22.83645439,14
23.50217247,14
24.16789246,4
24.83361053,1
25.49932861,2
26.16504669,1
26.83076477,4
27.49648285,1
28.16220093,1
30.15935707,1
30.82507515,2
31.49079323,1
32.15651321,1
33.48794937,1
