x,y
-498.97952271,1
-414.93096924,1
-378.159729,1
-351.89456177,1
-330.88241577,1
-299.36419678,1
-262.59295654,1
-236.32777405,1
-231.07473755,1
-204.80957031,1
-199.55653381,1
-157.53225708,1
-141.77314758,2
-136.52011108,3
-131.26707458,3
-126.01403809,3
-120.76100922,2
-115.50797272,3
-110.25493622,1
-105.00189972,7
-99.74886322,4
-94.49583435,3
-89.24279785,8
-83.98976135,7
-78.73672485,10
-73.48368835,12
-68.23065186,13
-62.97761917,27
-57.72458649,27
-52.47154999,33
-47.21851349,31
-41.9654808,50
-36.71244431,45
-31.45940971,77
-26.20637512,88
-20.95334053,146
-15.70030499,368
-10.44726944,1218
-5.19423485,5483
0.05880046,37141
5.31183529,57203
10.56487083,3109
15.81790543,496
21.07094002,64
26.32397652,6
