x,y
-36.1219635,3
-26.55913162,15
-16.99629593,272
-7.4334631,3090
2.12937069,108883
11.69220448,14525
21.25503922,1956
30.81787109,143
40.38070679,14
49.94353867,15
59.50637436,1
537.64807129,2
547.21087646,11
556.77374268,29
566.33654785,19
575.89941406,32
585.46221924,20
595.02508545,7
604.58789062,6
614.15075684,14
623.71356201,4
633.27642822,10
642.8392334,4
652.40203857,4
661.96490479,8
671.52770996,8
681.09057617,4
690.65338135,2
700.21624756,1
709.77905273,1
719.34191895,2
728.90472412,1
738.46759033,1
748.03039551,1
757.59326172,1
767.15606689,1
786.28173828,1
795.84460449,1
805.40740967,1
814.97021484,1
834.09588623,1
843.65875244,1
853.22155762,3
862.78442383,2
872.347229,2
881.91009521,3
891.47290039,7
901.0357666,14
910.59857178,14
920.16143799,5
