x,y
-36.18554688,2
-33.04309464,1
-31.47187042,1
-29.9006443,4
-28.32941818,5
-26.75819206,7
-25.18696594,11
-23.61573982,5
-22.0445137,19
-20.47328758,20
-18.90206146,31
-17.33083534,58
-15.75961018,128
-14.18838406,171
-12.61715794,242
-11.04593182,421
-9.4747057,606
-7.90348005,888
-6.33225393,1230
-4.76102781,1941
-3.18980193,3066
-1.61857581,4571
-0.04734987,6925
1.52387619,9473
3.09510207,11155
4.66632795,12088
6.23755407,11488
7.80878019,10225
9.38000584,8721
10.95123196,7155
12.52245808,5728
14.0936842,4485
15.66491032,3320
17.23613548,2504
18.8073616,1803
20.37858772,1398
21.94981384,961
23.52103996,682
25.09226608,515
26.6634922,391
28.23471832,315
29.80594444,215
31.37717056,165
32.94839478,125
34.5196228,70
36.09084702,61
37.66207504,43
39.23329926,33
40.80452728,26
42.3757515,18
43.94697952,11
45.51820374,14
47.08943176,16
48.66065598,8
50.231884,4
51.80310822,3
53.37433243,4
54.94556046,4
56.51678467,3
58.0880127,4
61.23046494,4
65.9441452,2
69.08659363,3
70.65782166,1
72.22904968,2
73.80027008,1
75.37149811,1
81.65640259,2
83.22763062,1
84.79885101,1
86.37007904,2
87.94130707,1
95.79743958,1
105.22479248,1
109.93846893,1
120.93704987,1
