x,y
-142.76812744,1
-139.29020691,1
-135.81230164,1
-125.37856293,2
-121.90065765,1
-114.94483185,2
-111.46691895,1
-107.98900604,4
-104.51109314,1
-101.03318024,3
-97.55527496,7
-94.07736206,4
-90.59944916,9
-87.12153625,4
-83.64362335,6
-80.16571045,4
-76.68780518,10
-73.20989227,10
-69.73197937,12
-66.25406647,15
-62.77615356,19
-59.29824448,13
-55.82033157,21
-52.34241867,25
-48.86450958,27
-45.38659668,55
-41.90868378,57
-38.43077469,75
-34.95286179,139
-31.47494888,180
-27.99703789,302
-24.51912689,382
-21.04121399,671
-17.56330299,1266
-14.08539104,2607
-10.6074791,4644
-7.12956762,7500
-3.65165567,11904
-0.17374408,16781
3.30416775,15051
6.78207922,12759
10.25999069,10023
13.73790264,7618
17.21581459,5899
20.69372559,4627
24.17163849,3887
27.64954948,3172
31.12746048,2448
34.60537338,1679
38.08328629,1067
41.56119537,688
45.03910828,486
48.51702118,407
51.99493027,301
55.47284317,208
58.95075607,165
62.42866516,163
65.90657806,159
69.38449097,130
72.86240387,123
76.34031677,90
79.81822205,96
83.29613495,69
86.77404785,55
90.25196075,57
93.72987366,58
97.20778656,57
100.68569183,49
104.16360474,38
107.64151764,32
111.11943054,30
114.59734344,22
118.07525635,27
121.55316925,23
125.03107452,20
128.50898743,17
131.98690796,24
135.46481323,15
138.94271851,12
142.42063904,8
145.89854431,11
149.37646484,17
152.85437012,3
156.33227539,2
159.81019592,4
163.2881012,6
166.76602173,2
170.243927,4
173.72184753,4
177.19975281,4
180.67765808,3
187.63348389,4
191.11140442,3
194.58930969,4
198.06723022,2
201.5451355,3
205.02304077,1
