x,y
-22.37604523,1
-21.72340965,1
-21.07077408,1
-19.76550484,4
-19.11287117,1
-18.4602356,4
-17.80760002,3
-17.15496635,5
-16.50233078,5
-15.84969616,7
-15.19706154,3
-14.54442596,4
-13.89179134,8
-13.23915672,8
-12.5865221,21
-11.93388653,27
-11.28125191,33
-10.62861729,45
-9.97598267,85
-9.32334709,129
-8.67071247,132
-8.01807785,194
-7.36544275,308
-6.71280813,404
-6.06017303,554
-5.40753841,768
-4.75490332,1072
-4.1022687,1412
-3.4496336,1833
-2.79699898,2700
-2.14436388,3437
-1.49172914,4470
-0.83909428,6073
-0.18645942,8901
0.46617544,10241
1.1188103,8688
1.77144516,8021
2.4240799,7445
3.07671499,7364
3.72934961,6770
4.38198471,6407
5.03461933,5840
5.68725443,5338
6.33988905,4831
6.99252415,4276
7.64515877,3915
8.29779339,3513
8.95042896,3171
9.60306358,2885
10.2556982,2679
10.90833282,2294
11.5609684,2077
12.21360302,1945
12.86623764,1652
13.51887226,1551
14.17150784,1411
14.82414246,1179
15.47677708,1018
16.1294117,934
16.78204727,869
17.43468094,807
18.08731651,683
18.73995209,558
19.39258575,519
20.04522133,430
20.6978569,394
21.35049057,313
22.00312614,302
22.65575981,266
23.30839539,238
23.96103096,203
24.61366463,167
25.2663002,141
25.91893578,123
26.57156944,108
27.22420502,73
27.87683868,68
28.52947426,62
29.18210983,54
29.8347435,39
30.48737907,32
31.14001465,26
31.79264832,27
32.44528198,19
33.09791946,30
33.75055313,23
34.4031868,16
35.05582428,8
35.70845795,13
36.36109161,6
37.0137291,9
37.66636276,11
38.31899643,5
38.97163391,2
39.62426758,6
40.27690125,3
40.92953491,5
41.58217239,1
42.23480606,3
42.88743973,1
