x,y
-47.8904953,1
-46.18404007,2
-43.62435532,1
-38.50498962,1
-30.82593727,1
-28.26625443,1
-27.4130249,1
-24.00011444,3
-23.14688683,1
-21.44043159,1
-18.88074684,3
-18.02751923,3
-17.17429161,2
-16.321064,7
-15.46783543,1
-14.61460781,5
-13.7613802,6
-12.90815258,9
-12.05492401,11
-11.2016964,18
-10.34846878,31
-9.49524117,36
-8.6420126,64
-7.78878498,103
-6.93555737,138
-6.08232927,219
-5.22910166,379
-4.37587357,720
-3.52264595,1170
-2.66941786,1949
-1.81619012,3188
-0.96296227,5965
-0.10973442,12461
0.74349344,12076
1.59672129,10293
2.44994926,10085
3.30317688,9718
4.15640497,9476
5.00963259,8616
5.86286068,8040
6.71608829,7297
7.56931639,6410
8.42254448,5746
9.27577209,5067
10.12899971,4363
10.98222733,3768
11.83545589,3135
12.68868351,2618
13.54191113,2176
14.39513874,1757
15.24836731,1538
16.10159492,1212
16.95482254,1028
17.80805016,836
18.66127777,647
19.51450539,529
20.36773491,456
21.22096252,357
22.07419014,277
22.92741776,225
23.78064537,155
24.63387299,100
25.4871006,78
26.34032822,65
27.19355774,43
28.04678535,30
28.90001297,21
29.75324059,4
30.6064682,10
31.45969582,3
32.31292343,1
33.16615295,2
34.87260818,1
37.43229294,1
