x,y
-18.09190559,1
-17.07924843,1
-15.56026077,1
-15.05393219,1
-14.54760361,1
-14.04127407,2
-13.53494549,1
-13.02861691,1
-11.5096302,3
-11.00330067,1
-10.49697208,3
-9.9906435,9
-9.48431492,8
-8.97798538,11
-8.4716568,13
-7.96532774,17
-7.45899916,20
-6.9526701,31
-6.44634104,41
-5.94001245,61
-5.4336834,75
-4.92735434,146
-4.42102575,173
-3.91469669,280
-3.40836787,462
-2.90203905,823
-2.39571023,1283
-1.88938129,2020
-1.38305235,3114
-0.87672353,5588
-0.37039462,12351
0.13593426,14211
0.64226317,8513
1.148592,6390
1.65492094,5658
2.16124988,5163
2.6675787,4995
3.17390752,4704
3.68023634,4589
4.1865654,4351
4.69289398,4221
5.19922304,4266
5.7055521,3921
6.21188068,3919
6.71820974,3735
7.2245388,3576
7.73086739,3366
8.23719597,3243
8.74352551,2991
9.24985409,2825
9.75618267,2625
10.26251221,2365
10.76884079,2138
11.27516937,1999
11.78149891,1779
12.28782749,1607
12.79415607,1412
13.30048561,1266
13.80681419,1166
14.31314278,1013
14.81947136,880
15.3258009,761
15.83212948,650
16.33845901,538
16.8447876,502
17.35111618,470
17.85744476,393
18.36377335,300
18.87010193,275
19.37643242,221
19.882761,218
20.38908958,148
20.89541817,171
21.40174675,127
21.90807533,102
22.41440582,85
22.92073441,79
23.42706299,61
23.93339157,49
24.43972015,37
24.94604874,22
25.45237923,30
25.95870781,18
26.46503639,14
26.97136497,19
27.47769356,10
27.98402214,9
28.49035072,7
28.99668121,2
29.5030098,6
30.00933838,2
30.51566696,2
32.54098129,1
