x,y
-36.76141357,1
-35.39819717,1
-32.67175674,1
-31.99014854,1
-28.58210182,2
-27.21888351,3
-26.53727531,1
-25.85566521,1
-25.17405701,4
-23.8108387,1
-22.44761848,2
-21.76601028,3
-21.08440018,4
-20.40279198,5
-19.72118187,3
-19.03957367,5
-18.35796356,11
-17.67635345,7
-16.99474525,8
-16.31313515,10
-15.63152695,21
-14.94991684,23
-14.26830769,20
-13.58669853,20
-12.90508938,15
-12.22348022,29
-11.54187107,29
-10.86026192,89
-10.17865276,23
-9.49704266,36
-8.8154335,44
-8.13382435,53
-7.45221519,69
-6.77060604,65
-6.08899689,106
-5.40738726,155
-4.7257781,172
-4.04416895,242
-3.36255956,378
-2.6809504,1261
-1.99934101,2376
-1.31773186,1822
-0.63612252,4724
0.04548675,85650
0.72709602,5546
1.40870523,4116
2.09031463,3517
2.77192378,3077
3.45353317,2517
4.13514233,2279
4.81675148,2144
5.49836111,2053
6.17997026,2028
6.86157942,1971
7.54318857,1857
8.2247982,1839
8.90640736,1758
9.58801651,1663
10.26962566,1482
10.95123482,1315
11.63284397,1230
12.31445408,1043
12.99606323,925
13.67767239,762
14.35928154,641
15.04089069,536
15.72249985,528
16.40410995,457
17.08571815,323
17.76732826,330
18.44893646,266
19.13054657,215
19.81215477,163
20.49376488,172
21.17537498,106
21.85698318,85
22.53859329,92
23.22020149,55
23.9018116,31
24.5834198,39
25.26502991,26
25.94664001,26
26.62824821,12
27.30985832,10
27.99146652,15
28.67307663,4
29.35468483,3
30.03629494,2
30.71790314,3
31.39951324,2
