x,y
-42.52025604,1
-39.99151611,1
-37.46277618,1
-36.6198616,2
-34.09112167,1
-33.24821091,1
-32.40529633,4
-30.71946907,4
-29.8765564,6
-29.03364372,6
-28.19073105,4
-27.34781647,9
-26.50490379,7
-25.66199112,14
-24.81907654,13
-23.97616386,22
-23.13325119,34
-22.29033852,43
-21.44742393,37
-20.60451126,53
-19.76159859,70
-18.91868401,87
-18.07577133,83
-17.23285866,110
-16.38994598,133
-15.54703236,170
-14.70411873,231
-13.86120605,263
-13.01829243,371
-12.1753788,385
-11.33246613,474
-10.4895525,639
-9.64663982,781
-8.8037262,982
-7.96081305,1151
-7.11789989,1382
-6.27498674,1551
-5.43207359,1811
-4.58916044,2151
-3.74624705,2582
-2.9033339,3331
-2.06042075,4628
-1.21750748,7468
-0.3745943,12376
0.46831891,16152
1.31123209,14769
2.15414524,12254
2.99705863,8938
3.83997178,6103
4.68288517,4233
5.52579832,3227
6.36871147,2799
7.21162462,2394
8.05453777,2085
8.8974514,1721
9.74036407,1507
10.5832777,1393
11.42619038,1204
12.269104,1035
13.11201668,1001
13.95493031,873
14.79784393,733
15.64075661,614
16.48366928,545
17.32658386,451
18.16949654,379
19.01240921,303
19.85532188,245
20.69823647,196
21.54114914,174
22.38406181,163
23.22697639,108
24.06988907,84
24.91280174,87
25.75571442,66
26.598629,56
27.44154167,47
28.28445435,31
29.12736893,32
29.9702816,27
30.81319427,26
31.65610695,14
32.49901962,14
33.3419342,8
34.18484879,11
35.02775955,4
35.87067413,4
36.71358871,4
37.55649948,4
38.39941406,3
39.24232483,2
40.08523941,1
40.92815399,1
41.77106476,1
