x,y
-22.1053524,1
-18.90953445,1
-18.55444336,1
-18.19935226,1
-17.84426117,1
-17.48917007,1
-15.71371555,2
-15.35862446,1
-14.64844227,1
-14.29335213,1
-13.93826103,1
-13.58316994,1
-12.87298775,2
-12.16280556,3
-11.80771542,2
-11.45262432,5
-11.09753323,1
-10.38735104,3
-10.03225994,3
-9.6771698,4
-9.3220787,5
-8.96698761,2
-8.61189651,4
-8.25680542,8
-7.9017148,8
-7.54662371,4
-7.19153261,8
-6.83644199,10
-6.4813509,21
-6.1262598,14
-5.77116919,23
-5.41607809,38
-5.060987,52
-4.7058959,75
-4.35080528,123
-3.99571419,206
-3.64062333,331
-3.28553224,499
-2.93044138,779
-2.57535052,1273
-2.22025943,1974
-1.86516857,2752
-1.5100776,4300
-1.15498662,5984
-0.7998957,7946
-0.44480479,9698
-0.08971383,10873
0.2653771,11473
0.62046808,11968
0.975559,10512
1.33064997,9386
1.68574095,8117
2.0408318,6758
2.3959229,5588
2.75101376,4476
3.10610461,3684
3.46119571,2854
3.81628656,2076
4.17137766,1602
4.52646828,1154
4.88155937,831
5.23665047,593
5.59174109,455
5.94683218,319
6.30192327,216
6.65701437,156
7.01210499,107
7.36719608,67
7.72228718,51
8.07737827,32
8.43246841,30
8.78755951,13
9.1426506,12
9.4977417,7
9.85283279,3
10.20792389,1
10.56301498,2
10.91810513,2
11.27319622,4
11.98337841,2
12.33846951,1
13.40374184,2
