x,y
-46.69620132,1
-41.6654129,1
-39.98848343,2
-38.31155396,5
-36.63462067,10
-34.95769119,9
-33.28076172,8
-31.60383224,32
-29.92690277,43
-28.24997139,64
-26.57304192,83
-24.89611244,157
-23.21918106,273
-21.54225159,394
-19.86532211,606
-18.18839264,931
-16.51146126,1345
-14.83453178,1829
-13.15760136,2720
-11.48067188,3698
-9.80374146,4806
-8.12681103,6137
-6.44988108,7131
-4.77295113,8159
-3.09602118,9074
-1.41909099,10261
0.25783902,11097
1.93476915,10456
3.6116991,8859
5.28862906,7079
6.96555948,5391
8.64248943,3837
10.31941986,2610
11.99634933,1774
13.67327976,1218
15.35020924,857
17.02713966,603
18.70406914,471
20.38100052,338
22.05792999,309
23.73485947,184
25.41179085,153
27.08872032,118
28.7656498,108
30.44258118,79
32.11951065,51
33.79644012,50
35.4733696,32
37.15029907,39
38.82723236,24
40.50416183,16
42.18109131,15
43.85802078,15
45.53495026,6
47.21187973,9
48.8888092,6
50.56574249,2
53.91960144,1
55.59653091,1
57.27346039,2
58.95038986,2
60.62732315,1
62.30425262,2
65.65811157,2
67.33504486,1
69.01197052,1
70.68890381,2
72.36582947,2
77.3966217,2
79.07355499,1
82.42741394,1
84.1043396,1
85.78127289,2
87.45820618,2
94.16592407,1
104.22750092,1
109.25829315,1
120.99680328,1
