x,y
-165.82907104,1
-147.34251404,1
-143.64520264,2
-139.94789124,2
-136.25057983,1
-132.55326843,3
-121.4613266,3
-117.7640152,3
-114.0667038,5
-110.3693924,9
-106.67208099,9
-102.97476959,8
-99.27745819,6
-95.58014679,4
-91.88282776,6
-88.18551636,14
-84.48820496,20
-80.79089355,13
-77.09358215,27
-73.39627075,21
-69.69895935,30
-66.00164795,31
-62.30433273,59
-58.60702133,60
-54.90970612,91
-51.21239471,130
-47.51508331,174
-43.81777191,226
-40.1204567,372
-36.42314529,697
-32.72583389,1293
-29.02852058,2132
-25.33120918,3339
-21.63389587,4951
-17.93658447,6883
-14.23927116,8936
-10.54195976,10563
-6.84464693,12657
-3.14733458,14025
0.54997778,14230
4.24729013,10961
7.94460249,8466
11.64191437,5591
15.33922768,3599
19.03653908,2360
22.73385239,1604
26.43116379,1126
30.1284771,765
33.82579041,573
37.52310181,425
41.22041321,365
44.91772461,279
48.61503983,248
52.31235123,174
56.00966263,152
59.70697403,140
63.40428925,142
67.10160065,116
70.79891205,88
74.49622345,78
78.19353485,64
81.89084625,73
85.58816528,51
89.28547668,56
92.98278809,60
96.68009949,47
100.37741089,39
104.07472229,43
107.77203369,17
111.46934509,30
115.16666412,21
118.86397552,26
122.56128693,21
126.25859833,25
129.95591736,15
133.65322876,20
137.35054016,11
141.04785156,14
144.74516296,15
148.44247437,6
152.13978577,6
155.83709717,5
159.53440857,4
163.23171997,5
166.92903137,3
170.62634277,4
174.32365417,4
178.02096558,3
181.71827698,1
185.41558838,3
189.11291504,2
192.81022644,5
196.50753784,3
200.20484924,3
203.90216064,1
