x,y
-38.18841934,1
-36.73445129,2
-36.00746918,3
-35.28048706,5
-34.55350113,14
-33.82651901,9
-33.0995369,17
-32.37255096,16
-31.64556885,17
-30.91858482,29
-30.19160271,23
-29.46461868,49
-28.73763657,58
-28.01065254,79
-27.28366852,107
-26.5566864,141
-25.82970238,199
-25.10271835,289
-24.37573624,380
-23.64875221,436
-22.9217701,596
-22.19478607,723
-21.46780205,893
-20.74081993,1097
-20.01383591,1383
-19.28685188,1694
-18.55986977,2053
-17.83288574,2417
-17.10590363,2903
-16.3789196,3320
-15.65193653,3835
-14.92495251,4362
-14.19796944,5189
-13.47098637,5567
-12.7440033,6186
-12.01701927,6481
-11.2900362,6892
-10.56305313,7553
-9.83607006,8070
-9.10908604,8270
-8.38210297,8480
-7.6551199,8529
-6.92813635,8748
-6.20115328,8758
-5.47416973,8613
-4.74718666,8465
-4.02020311,8182
-3.29322004,8013
-2.5662365,7848
-1.83925331,7760
-1.11227,8175
-0.38528669,9140
0.34169662,8951
1.06867993,5525
1.79566324,3786
2.52264643,2919
3.24962997,2250
3.97661304,1829
4.70359659,1472
5.43057966,1233
6.15756321,979
6.88454628,928
7.61152983,683
8.33851337,618
9.06549644,546
9.79247952,448
10.51946259,377
11.24644661,325
11.97342968,318
12.70041275,237
13.42739582,230
14.15437984,201
14.88136292,155
15.60834599,133
16.33532906,101
17.06231308,81
17.7892952,96
18.51627922,72
19.24326324,64
19.97024536,52
20.69722939,53
21.42421341,34
22.15119553,37
22.87817955,34
23.60516167,27
24.33214569,27
25.05912971,21
25.78611183,6
26.51309586,3
27.24007988,6
27.967062,8
28.69404602,3
29.42102814,9
30.14801216,2
30.87499619,3
31.6019783,2
32.32896042,2
33.05594635,1
33.78292847,2
34.50991058,1
