x,y
-30.31658936,1
-29.26376534,1
-28.73735237,5
-28.21093941,4
-27.68452644,6
-27.15811539,6
-26.63170242,4
-26.10528946,7
-25.5788765,18
-25.05246544,19
-24.52605247,31
-23.99963951,41
-23.47322655,45
-22.94681549,72
-22.42040253,74
-21.89398956,152
-21.3675766,224
-20.84116554,234
-20.31475258,287
-19.78833961,382
-19.26192665,488
-18.73551559,614
-18.20910263,713
-17.68268967,928
-17.1562767,1014
-16.62986565,1295
-16.10345268,1410
-15.57703972,1574
-15.05062771,1931
-14.52421474,2083
-13.99780273,2358
-13.47138977,2732
-12.94497776,2941
-12.4185648,3249
-11.89215279,3407
-11.36573982,3640
-10.83932781,3821
-10.31291485,4112
-9.78650284,4217
-9.26008987,4512
-8.73367786,4509
-8.2072649,4736
-7.68085289,4822
-7.15443993,4973
-6.62802792,5202
-6.10161495,5182
-5.57520294,5239
-5.04878998,5434
-4.52237797,5335
-3.99596524,5561
-3.46955276,5758
-2.94314027,6126
-2.41672778,6474
-1.89031529,7419
-1.36390281,9117
-0.83749032,13510
-0.31107783,20399
0.21533465,16721
0.74174714,8385
1.26815963,5546
1.79457211,4010
2.3209846,2865
2.84739709,2063
3.37380958,1553
3.90022206,1244
4.42663479,1046
4.9530468,875
5.47945976,683
6.00587177,568
6.53228474,521
7.05869675,392
7.58510971,332
8.11152172,292
8.63793468,226
9.16434669,204
9.69075966,209
10.21717167,158
10.74358463,119
11.26999664,99
11.79640961,82
12.32282162,63
12.84923458,53
13.37564659,46
13.90205956,29
14.42847157,29
14.95488453,21
15.48129654,17
16.0077095,12
16.53412247,17
17.06053352,13
17.58694649,4
18.11335945,2
18.63977242,4
19.16618347,4
19.69259644,2
20.74542236,1
21.79824638,1
22.32465935,1
