x,y
-157.4921875,1
-146.60185242,1
-142.97174072,2
-132.08139038,2
-128.45127869,4
-121.1910553,1
-117.56093597,3
-113.93082428,1
-110.30071259,3
-106.67059326,10
-103.04048157,9
-99.41036987,8
-95.78025818,7
-92.15013885,5
-88.52002716,5
-84.88991547,12
-81.25979614,9
-77.62968445,20
-73.99957275,18
-70.36945343,26
-66.73934174,18
-63.10922623,27
-59.47911453,40
-55.84899902,48
-52.21888733,71
-48.58877182,85
-44.95865631,114
-41.32854462,152
-37.69842911,197
-34.0683136,242
-30.4382019,387
-26.8080864,615
-23.17797279,1172
-19.54785919,2335
-15.91774464,4463
-12.28763103,7529
-8.65751648,10675
-5.02740288,13806
-1.39728856,15738
2.23282552,14196
5.86293983,11757
9.49305344,9216
13.12316799,6730
16.75328255,4647
20.38339615,3750
24.01350975,2930
27.64362335,1995
31.27373886,1284
34.90385056,837
38.53396606,585
42.16408157,443
45.79419327,357
49.42430878,311
53.05442429,224
56.68453598,164
60.31465149,148
63.94476318,148
67.57488251,134
71.2049942,110
74.8351059,100
78.46521759,76
82.09533691,72
85.72544861,65
89.3555603,48
92.98567963,58
96.61579132,60
100.24590302,47
103.87602234,43
107.50613403,32
111.13624573,26
114.76636505,29
118.39647675,27
122.02658844,23
125.65670776,21
129.28681946,20
132.91693115,20
136.54704285,14
140.17715454,14
143.80728149,8
147.43739319,15
151.06750488,11
154.69761658,2
158.32772827,3
161.95783997,6
165.58795166,2
169.21807861,6
172.84819031,4
176.478302,4
180.1084137,3
187.36863708,3
190.99876404,2
194.62887573,5
198.25898743,2
201.88909912,3
205.51921082,1
