x,y
-31.9104023,1
-31.14331436,2
-29.6091404,3
-28.84205437,6
-28.07496643,5
-27.3078804,3
-26.54079247,7
-25.77370644,8
-25.00662041,9
-24.23953247,20
-23.47244644,11
-22.70535851,24
-21.93827248,28
-21.17118454,53
-20.40409851,78
-19.63701057,88
-18.86992455,142
-18.10283661,206
-17.33575058,318
-16.56866264,426
-15.80157661,622
-15.03448963,831
-14.26740265,1071
-13.50031567,1315
-12.73322868,1722
-11.9661417,2116
-11.19905472,2591
-10.43196774,3151
-9.66488075,3772
-8.89779377,4440
-8.13070679,5140
-7.36362028,5804
-6.5965333,6503
-5.82944632,7092
-5.06235933,7915
-4.29527283,8470
-3.52818561,9254
-2.76109886,9948
-1.99401188,10682
-1.2269249,11878
-0.459838,14234
0.30724892,15491
1.07433581,11966
1.8414228,9368
2.60850978,8356
3.37559652,6939
4.14268351,6086
4.90977049,5247
5.67685747,4596
6.44394445,3924
7.21103144,3404
7.97811794,3037
8.74520493,2615
9.51229191,2144
10.27937889,2019
11.04646587,1578
11.81355286,1468
12.58063984,1318
13.34772682,1058
14.1148138,933
14.88190079,766
15.64898777,648
16.41607475,591
17.18316078,512
17.95024872,436
18.71733475,364
19.48442268,317
20.25150871,303
21.01859665,275
21.78568268,224
22.55277061,184
23.31985664,151
24.08694267,111
24.85403061,111
25.62111664,86
26.38820457,63
27.1552906,56
27.92237854,32
28.68946457,42
29.45655251,24
30.22363853,18
30.99072647,25
31.7578125,14
32.52489853,13
33.29198837,12
34.0590744,13
34.82616043,6
35.59324646,5
36.36033249,5
37.12742233,5
37.89450836,1
38.66159439,1
39.42868042,3
40.19577026,1
40.96285629,2
43.26411819,1
44.79829025,1
