x,y
-56.71490479,1
-54.87998199,1
-51.21012878,1
-50.29266739,3
-49.37520599,1
-48.45774078,1
-44.78789139,1
-39.28311539,1
-38.36565018,1
-35.61326218,2
-34.69580078,3
-33.77833939,2
-32.86087418,1
-31.94341278,2
-31.02594948,1
-30.10848808,1
-29.19102478,3
-28.27356148,3
-27.35610008,1
-26.43863678,3
-25.52117348,8
-24.60371208,11
-23.68624878,5
-22.76878548,18
-21.85132408,29
-20.93386078,50
-20.01639748,87
-19.09893417,148
-18.18147278,232
-17.26400948,344
-16.34654617,523
-15.42908382,724
-14.51162148,1003
-13.59415913,1346
-12.67669582,1651
-11.75923347,2110
-10.84177113,2692
-9.92430782,3288
-9.00684547,4032
-8.08938217,4959
-7.17191982,5627
-6.254457,6637
-5.33699465,7388
-4.41953182,8613
-3.502069,9601
-2.58460641,11040
-1.66714358,13024
-0.74968094,16636
0.16778177,22686
1.08524442,19187
2.00270724,14135
2.92016983,10912
3.83763266,8973
4.75509548,7474
5.67255783,5862
6.59002066,4896
7.50748348,4153
8.42494583,3305
9.34240913,2729
10.25987148,2185
11.17733383,1783
12.09479713,1442
13.01225948,1200
13.92972279,944
14.84718513,726
15.76464748,620
16.68210983,447
17.59957314,378
18.51703644,281
19.43449783,203
20.35196114,152
21.26942444,136
22.18688583,90
23.10434914,69
24.02181244,48
24.93927574,35
25.85673714,17
26.77420044,14
27.69166374,7
28.60912514,3
29.52658844,2
31.36151314,1
33.19643784,2
34.11390305,1
35.03136444,1
