x,y
-42.54394913,1
-41.00892258,1
-38.70638657,1
-37.93887329,1
-37.17136002,1
-36.40384674,3
-34.86882401,2
-34.10131073,1
-33.33379745,1
-31.79877281,1
-30.26374817,7
-29.49623489,6
-28.72872353,6
-27.96121025,11
-27.19369698,6
-26.42618561,15
-25.65867233,24
-24.89116096,22
-24.12364769,22
-23.35613441,42
-22.58862305,46
-21.82110977,67
-21.0535984,89
-20.28608513,93
-19.51857185,122
-18.75106049,153
-17.98354721,204
-17.21603584,291
-16.44852257,326
-15.68101025,450
-14.91349792,542
-14.14598465,745
-13.37847233,885
-12.61096001,1198
-11.84344769,1519
-11.07593536,1816
-10.30842304,2325
-9.54090977,2765
-8.77339745,3590
-8.00588512,4280
-7.2383728,5050
-6.47086,5669
-5.70334768,6443
-4.93583488,7051
-4.16832256,8068
-3.40081,8821
-2.63329768,10061
-1.86578512,11346
-1.09827256,12550
-0.33076009,14948
0.43675241,15540
1.20426488,12852
1.97177744,10621
2.73929,8890
3.50680232,7523
4.27431488,6086
5.0418272,5103
5.80934,4210
6.57685232,3445
7.34436512,2858
8.11187744,2432
8.87938976,2126
9.64690208,1654
10.41441536,1413
11.18192768,1149
11.94944,984
12.71695232,791
13.48446465,592
14.25197697,512
15.01949024,459
15.78700256,380
16.55451584,320
17.32202721,256
18.08954048,203
18.85705185,155
19.62456512,102
20.39207649,102
21.15958977,72
21.92710304,43
22.69461441,45
23.46212769,35
24.22963905,22
24.99715233,19
25.7646656,11
26.53217697,9
27.29969025,10
28.06720161,5
28.83471489,6
29.60222816,2
30.36973953,3
32.67227554,1
33.43978882,1
34.20730209,2
