x,y
-30.67665863,1
-30.03614044,1
-28.75510597,2
-28.11458778,1
-27.4740715,1
-26.83355331,8
-26.19303513,2
-25.55251884,3
-24.91200066,5
-24.27148247,6
-23.63096619,10
-22.990448,7
-22.34992981,10
-21.70941353,16
-21.06889534,21
-20.42837715,40
-19.78785896,42
-19.14734268,63
-18.50682449,94
-17.8663063,117
-17.22579002,155
-16.58527184,199
-15.9447546,237
-15.30423641,330
-14.66371918,473
-14.02320194,590
-13.38268375,776
-12.74216652,933
-12.10164833,1093
-11.4611311,1398
-10.82061386,1667
-10.18009567,1975
-9.53957844,2292
-8.8990612,2767
-8.25854301,3316
-7.61802578,3681
-6.97750807,4306
-6.33699036,4740
-5.69647264,5438
-5.05595541,5865
-4.4154377,6626
-3.77491999,7419
-3.13440251,8137
-2.4938848,9058
-1.85336733,10522
-1.21284962,13935
-0.57233208,16899
0.06818551,17641
0.7087031,15936
1.34922075,11562
1.98973823,9292
2.63025594,7479
3.27077341,6184
3.91129112,4971
4.55180883,4129
5.19232607,3560
5.83284378,2926
6.47336149,2458
7.1138792,2159
7.75439644,1784
8.39491463,1615
9.03543186,1419
9.6759491,1157
10.31646729,960
10.95698452,843
11.59750175,669
12.23801994,547
12.87853718,464
13.51905537,389
14.1595726,289
14.80008984,270
15.44060802,221
16.08112526,182
16.72164345,142
17.36215973,128
18.00267792,108
18.64319611,57
19.28371239,48
19.92423058,37
20.56474876,28
21.20526695,21
21.84578323,14
22.48630142,11
23.12681961,13
23.76733589,13
24.40785408,7
25.04837227,6
25.68888855,8
26.32940674,5
26.96992493,6
27.61044121,1
28.2509594,6
29.53199387,1
30.17251205,2
31.45354843,1
33.37509918,1
