x,y
-34.70763016,3
-25.16354179,8
-15.61945152,147
-6.07536268,2347
3.46872663,111043
13.01281548,12502
22.55690575,2586
32.10099411,243
41.64508438,21
51.18917465,16
60.73326111,1
537.93774414,3
547.48181152,10
557.02587891,30
566.57000732,19
576.11407471,33
585.65820313,18
595.20227051,8
604.74633789,12
614.29046631,8
623.83453369,5
633.37860107,10
642.92272949,3
652.46679688,3
662.01086426,9
671.55499268,7
681.09906006,5
690.64312744,1
700.18725586,1
709.73132324,1
719.27545166,2
728.81951904,1
738.36358643,1
747.90771484,1
757.45178223,1
766.99584961,1
786.08404541,2
795.62811279,2
805.17224121,2
814.71630859,1
824.26043701,1
833.80450439,1
852.8927002,1
862.43676758,1
871.98083496,1
881.52496338,2
891.06903076,4
900.61309814,15
910.15722656,12
919.70129395,5
