x,y
-124.83437347,2
-121.41033936,5
-117.98631287,9
-114.56227875,8
-111.13824463,6
-107.71421814,13
-104.29018402,17
-100.86615753,17
-97.44212341,16
-94.01809692,26
-90.59406281,17
-87.17003632,23
-83.7460022,27
-80.32196808,29
-76.89794159,30
-73.47390747,34
-70.04988098,45
-66.62584686,46
-63.20181656,53
-59.77778625,53
-56.35375595,60
-52.92972565,78
-49.50569534,99
-46.08166504,99
-42.65763092,125
-39.23360062,153
-35.80957031,222
-32.38554001,273
-28.9615097,400
-25.5374794,578
-22.11344719,869
-18.68941689,1400
-15.26538658,2032
-11.84135532,2868
-8.41732502,4265
-4.99329376,6723
-1.56926322,10324
1.85476756,16240
5.2787981,25070
8.70282936,21738
12.12685966,11086
15.55089092,6273
18.97492218,4326
22.39895248,3378
25.82298279,2450
29.24701309,1938
32.6710434,1457
36.0950737,1019
39.51910782,741
42.94313812,544
46.36716843,426
49.79119873,324
53.21522903,272
56.63925934,251
60.06328964,215
63.48731995,160
66.91135406,149
70.33538055,125
73.75941467,125
77.18344116,95
80.60747528,89
84.0315094,76
87.45553589,64
90.87957001,77
94.3035965,66
97.72763062,35
101.1516571,38
104.57569122,41
107.99972534,42
111.42375183,42
114.84778595,33
118.27181244,49
121.69584656,28
125.11987305,30
128.54389954,15
131.96794128,31
135.39196777,8
138.81599426,16
142.24003601,19
145.6640625,11
149.08808899,6
152.51211548,6
155.93615723,5
159.36018372,9
162.78421021,4
166.20825195,4
169.63227844,4
173.05630493,1
176.48033142,3
179.90437317,3
183.32839966,2
186.75242615,3
190.1764679,2
193.60049438,2
197.02452087,3
200.44854736,2
203.87258911,1
207.2966156,1
210.72064209,2
214.14466858,1
217.56871033,1
