x,y
-53.03594589,1
-49.77408218,3
-48.68679428,1
-47.59950256,3
-46.51221466,3
-45.42492676,5
-44.33763885,5
-43.25035095,14
-42.16306305,18
-41.07577515,17
-39.98848724,35
-38.90119934,43
-37.81391144,34
-36.72662354,58
-35.63933182,70
-34.55204391,104
-33.46475601,139
-32.37746811,167
-31.29018021,235
-30.2028923,297
-29.1156044,398
-28.0283165,517
-26.94102669,715
-25.85373878,836
-24.76645088,1128
-23.67916298,1347
-22.59187508,1598
-21.50458527,2008
-20.41729736,2181
-19.33000946,2580
-18.24272156,2783
-17.15543365,3028
-16.06814575,3250
-14.9808569,3460
-13.89356804,3689
-12.80628014,3699
-11.71899223,3928
-10.63170338,3966
-9.54441547,4042
-8.45712662,4014
-7.36983871,4205
-6.28255033,4205
-5.19526243,4239
-4.10797405,4237
-3.02068567,4282
-1.93339753,4237
-0.84610921,4233
0.24117905,4172
1.32846737,4031
2.41575551,3950
3.50304389,3873
4.59033203,3717
5.67762041,3644
6.76490879,3456
7.85219669,3265
8.93948555,3097
10.02677345,2597
11.11406136,2344
12.20135021,2196
13.28863811,1820
14.37592602,1563
15.46321487,1317
16.55050278,1027
17.63779068,920
18.72507858,706
19.81236839,602
20.8996563,481
21.9869442,336
23.0742321,298
24.16152,184
25.24880981,146
26.33609772,118
27.42338562,82
28.51067352,75
29.59796143,52
30.68525124,43
31.77253914,31
32.85982513,22
33.94711685,12
35.03440475,14
36.12169266,13
37.20898056,9
38.29626846,7
39.38355637,13
40.47084427,5
41.55813217,4
42.64542007,4
43.73270798,7
44.81999588,3
45.9072876,6
46.9945755,1
55.69287872,1
