x,y
-53.80682373,2
-52.7119751,1
-51.61712265,3
-50.52227402,1
-49.42742538,5
-47.2377243,5
-46.14287567,4
-45.04802322,8
-43.95317459,8
-42.85832596,19
-41.76347351,11
-40.66862488,38
-39.57377625,28
-38.4789238,44
-37.38407516,61
-36.28922653,62
-35.1943779,88
-34.09952545,112
-33.00467682,154
-31.90982628,238
-30.81497765,295
-29.72012711,347
-28.62527657,434
-27.53042793,519
-26.43557739,682
-25.34072685,845
-24.24587822,1128
-23.15102768,1300
-22.05617905,1573
-20.96132851,1790
-19.86647797,2003
-18.77162933,2215
-17.67677879,2479
-16.58192825,2713
-15.48707962,2993
-14.39222908,3223
-13.29737949,3349
-12.20252991,3467
-11.10768032,3692
-10.01282978,3857
-8.91798019,3947
-7.82313061,4063
-6.72828054,4074
-5.63343096,4182
-4.53858089,4211
-3.44373131,4298
-2.34888124,4300
-1.25403154,4380
-0.15918171,4435
0.93566811,4404
2.03051805,4462
3.12536764,4173
4.2202177,4199
5.31506729,4049
6.40991735,3810
7.50476694,3660
8.599617,3308
9.69446659,3096
10.78931618,2777
11.88416672,2523
12.9790163,2259
14.07386589,1951
15.16871548,1639
16.26356506,1380
17.3584156,1140
18.45326614,867
19.54811478,702
20.64296532,537
21.73781395,413
22.83266449,334
23.92751503,248
25.02236366,175
26.1172142,144
27.21206474,88
28.30691338,67
29.40176392,57
30.49661255,43
31.59146309,28
32.68631363,32
33.78116226,15
34.87601089,11
35.97086334,9
37.06571198,7
38.16056061,6
39.25541306,4
40.35026169,2
41.44511032,1
42.53996277,3
43.6348114,2
44.72966003,4
45.82451248,2
52.39360809,1
53.48846054,2
55.67815781,1
