x,y
-23.12495422,1
-20.7682972,3
-19.58996773,1
-19.00080299,1
-17.82247353,2
-16.64414406,4
-16.05498123,1
-15.46581554,2
-14.87665176,7
-14.28748703,7
-13.6983223,18
-13.10915756,28
-12.51999378,33
-11.93082905,60
-11.34166431,102
-10.75249958,137
-10.1633358,258
-9.57417107,384
-8.98500633,566
-8.3958416,801
-7.80667734,1150
-7.21751308,1609
-6.62834835,1943
-6.03918409,2409
-5.45001936,2934
-4.8608551,3473
-4.27169037,3850
-3.68252611,4159
-3.09336138,4386
-2.50419712,4692
-1.91503251,4994
-1.32586801,5112
-0.73670352,5840
-0.14753902,7118
0.44162548,16567
1.03078997,28921
1.61995447,18177
2.20911884,19689
2.79828358,17201
3.38744783,12754
3.97661257,9183
4.56577682,6968
5.15494156,5293
5.74410582,4220
6.33327055,3358
6.92243481,2750
7.51159954,2309
8.10076427,1964
8.68992805,1769
9.27909279,1469
9.86825752,1292
10.45742226,1098
11.04658604,1047
11.63575077,842
12.2249155,749
12.81408024,671
13.40324402,555
13.99240875,485
14.58157349,363
15.17073822,254
15.759902,210
16.34906769,171
16.93823051,135
17.52739525,73
18.11655998,66
18.70572472,39
19.29488945,30
19.88405418,21
20.47321892,23
21.06238365,11
21.65154648,21
22.24071121,15
22.82987595,10
23.41904068,8
24.00820541,13
24.59737015,15
25.18653488,8
25.77569962,6
26.36486244,6
26.95402718,9
27.54319191,10
28.13235664,4
28.72152138,2
29.31068611,3
29.89985085,4
30.48901558,5
31.07817841,4
31.66734314,1
32.84567261,2
33.43483734,2
35.79149628,1
