x,y
-498.87606812,1
-413.01156616,2
-380.81237793,1
-359.34625244,1
-353.97970581,1
-332.51358032,1
-300.31439209,1
-262.74868774,2
-235.91601563,1
-230.54949951,1
-214.44989014,2
-209.08337402,1
-198.35031128,1
-166.15112305,1
-155.4180603,1
-150.05151367,1
-144.68499756,2
-139.31845093,3
-133.95193481,4
-128.58538818,3
-123.21886444,5
-117.85233307,4
-112.4858017,6
-107.11927032,5
-101.75273895,4
-96.38620758,9
-91.01967621,7
-85.65314484,11
-80.28661346,16
-74.92008209,16
-69.55355072,20
-64.18701935,34
-58.82048798,36
-53.4539566,52
-48.08742523,59
-42.72089386,75
-37.35436249,80
-31.98783112,90
-26.62129974,133
-21.25476837,180
-15.888237,403
-10.52170563,1092
-5.15517426,8500
0.21135712,39947
5.57788849,94331
10.94441986,11103
16.31095123,1928
21.6774826,144
27.04401398,25
32.41054535,13
37.77707672,2
